route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p045_watd0p03_raw,0.55,0.375,0.045,0.03,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.75375397912527,0.9984748251736164,0.9834793955087662,0.035810025059618056,43.639941671065266,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p375_wm0p045_watd0p03_raw.csv
wa0p535_wb0p375_wm0p065_watd0p025_raw,0.535,0.375,0.065,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.75376923952207,0.9984758757054806,0.9834835045039654,0.03597173627349548,43.639648030215895,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p535_wb0p375_wm0p065_watd0p025_raw.csv
wa0p55_wb0p365_wm0p06_watd0p025_raw,0.55,0.365,0.06,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.75364511395447,0.9984756261110306,0.9834822788834572,0.03592041184310801,43.63962260470135,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p365_wm0p06_watd0p025_raw.csv
wa0p55_wb0p375_wm0p05_watd0p025_raw,0.55,0.375,0.05,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.753446391258144,0.9984747767448425,0.9834786951541901,0.03582132118754089,43.6396097996605,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p375_wm0p05_watd0p025_raw.csv
wa0p525_wb0p375_wm0p075_watd0p025_raw,0.525,0.375,0.075,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.75375449154687,0.9984767399728298,0.983485858887434,0.03607149390154518,43.63944366135563,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p525_wb0p375_wm0p075_watd0p025_raw.csv
wa0p55_wb0p35_wm0p075_watd0p025_raw,0.55,0.35,0.075,0.025,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.753600093848725,0.998476430773735,0.9834862686693668,0.03607117410865612,43.63928886761256,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p35_wm0p075_watd0p025_raw.csv
wa0p55_wb0p375_wm0p055_watd0p02_raw,0.55,0.375,0.055,0.02,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.75312161075492,0.9984748587012291,0.9834779314696789,0.03583232904202305,43.6392619678176,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p375_wm0p055_watd0p02_raw.csv
wa0p53_wb0p375_wm0p075_watd0p02_raw,0.53,0.375,0.075,0.02,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.753414969024846,0.9984763376414776,0.983483824878931,0.03603279939852655,43.63917504583452,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p53_wb0p375_wm0p075_watd0p02_raw.csv
wa0p55_wb0p375_wm0p06_watd0p015_raw,0.55,0.375,0.06,0.015,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.752780104664524,0.9984749183058739,0.9834770783782005,0.035843962570652366,43.63889584611486,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p375_wm0p06_watd0p015_raw.csv
wa0p55_wb0p375_wm0p075_watd0_raw,0.55,0.375,0.075,0.0,,0.0,0.0,1.0,hard,blend,0.0,avg,1.0,1.0,0.0,35.7516530582705,0.9984748512506485,0.9834740497171879,0.03587684192461893,43.63769658135953,experiments/router_metrics_20260512/hat_hat_mambairv2_atd4_smoke16/wa0p55_wb0p375_wm0p075_watd0_raw.csv
