route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_raw_hp2,0.55,0.375,0.075,,0.0,0.0,1.0,hard,highpass,2.0,37.5995007749208,0.9986997991800308,0.9882849752902985,0.026724007911980152,45.51482150475762,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p55_wb0p375_wm0p075_raw_hp2.csv
wa0p565_wb0p375_wm0p06_raw_hp2,0.565,0.375,0.06,,0.0,0.0,1.0,hard,highpass,2.0,37.59881850203739,0.9986987560987473,0.9882824718952179,0.02656718995422125,45.514441602511866,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p565_wb0p375_wm0p06_raw_hp2.csv
wa0p55_wb0p35_wm0p1_raw_hp2,0.55,0.35,0.1,,0.0,0.0,1.0,hard,highpass,2.0,37.59893834304075,0.9987010359764099,0.988286167383194,0.026987276505678892,45.51374234065424,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p55_wb0p35_wm0p1_raw_hp2.csv
wa0p6_wb0p35_wm0p05_raw_hp2,0.6,0.35,0.05,,0.0,0.0,1.0,hard,highpass,2.0,37.59751611349978,0.9986972510814667,0.9882802516222,0.026469284668564796,45.51332155389585,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p6_wb0p35_wm0p05_raw_hp2.csv
wa0p585_wb0p375_wm0p04_raw_hp2,0.585,0.375,0.04,,0.0,0.0,1.0,hard,highpass,2.0,37.597094512547,0.9986971616744995,0.988277330994606,0.02636444056406617,45.51310326345508,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p585_wb0p375_wm0p04_raw_hp2.csv
wa0p55_wb0p375_wm0p075_raw_hp1,0.55,0.375,0.075,,0.0,0.0,1.0,hard,highpass,1.0,37.59732070393674,0.9986979514360428,0.9882795363664627,0.026590316090732813,45.512886853104455,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p55_wb0p375_wm0p075_raw_hp1.csv
wa0p565_wb0p375_wm0p06_raw_hp1,0.565,0.375,0.06,,0.0,0.0,1.0,hard,highpass,1.0,37.59691307148851,0.9986967742443085,0.9882776588201523,0.026462512323632836,45.5127240099474,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p565_wb0p375_wm0p06_raw_hp1.csv
wa0p585_wb0p375_wm0p04_raw_hp1,0.585,0.375,0.04,,0.0,0.0,1.0,hard,highpass,1.0,37.5956790309543,0.9986959248781204,0.9882734566926956,0.026296403957530856,45.51180868569335,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p585_wb0p375_wm0p04_raw_hp1.csv
wa0p6_wb0p35_wm0p05_raw_hp1,0.6,0.35,0.05,,0.0,0.0,1.0,hard,highpass,1.0,37.59583322074063,0.9986959993839264,0.9882757067680359,0.026382163632661104,45.51179630331494,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p6_wb0p35_wm0p05_raw_hp1.csv
wa0p55_wb0p35_wm0p1_raw_hp1,0.55,0.35,0.1,,0.0,0.0,1.0,hard,highpass,1.0,37.596486998866546,0.9986978471279144,0.9882807284593582,0.026806453242897987,45.51162263206695,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p55_wb0p35_wm0p1_raw_hp1.csv
wa0p62_wb0p35_wm0p03_raw_hp2,0.62,0.35,0.03,,0.0,0.0,1.0,hard,highpass,2.0,37.595317863142576,0.9986954480409622,0.9882737994194031,0.026268138783052564,45.51150187266105,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p62_wb0p35_wm0p03_raw_hp2.csv
wa0p62_wb0p35_wm0p03_raw_hp1,0.62,0.35,0.03,,0.0,0.0,1.0,hard,highpass,1.0,37.59419754497779,0.9986939877271652,0.9882707744836807,0.0262167165055871,45.51046958729697,experiments/router_metrics_20260512/hat_hat_mambairv2_highpass_smoke4/wa0p62_wb0p35_wm0p03_raw_hp1.csv
