route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,blend,0.0,34.48069704260613,0.9982882104814053,0.9770260863006115,0.04016874643275514,42.344140985230275,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p55_wb0p375_wm0p075_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,blend,0.0,34.48066148765359,0.9982882775366306,0.9770262725651264,0.04016693859011866,42.34410982082339,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p575_wb0p35_wm0p075_raw.csv
wa0p565_wb0p365_wm0p07_raw,0.565,0.365,0.07,,0.0,0.0,1.0,hard,blend,0.0,34.48006819423388,0.9982876293361187,0.9770244844257832,0.04010714928153902,42.34362864053908,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p565_wb0p365_wm0p07_raw.csv
wa0p585_wb0p355_wm0p06_raw,0.585,0.355,0.06,,0.0,0.0,1.0,hard,blend,0.0,34.478682324610034,0.9982866160571575,0.977020688354969,0.03998724804841913,42.34246890156608,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p585_wb0p355_wm0p06_raw.csv
wa0p6_wb0p34_wm0p06_raw,0.6,0.34,0.06,,0.0,0.0,1.0,hard,blend,0.0,34.478638852346755,0.9982864297926426,0.9770207554101944,0.0399868082604371,42.342425325402125,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p6_wb0p34_wm0p06_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,34.477130622392664,0.9982852078974247,0.9770162031054497,0.039865936181740835,42.34114240362463,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p6_wb0p35_wm0p05_raw.csv
wa0p625_wb0p325_wm0p05_raw,0.625,0.325,0.05,,0.0,0.0,1.0,hard,blend,0.0,34.47703420460952,0.998284999281168,0.9770162925124168,0.03986488236114383,42.34104702059907,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p625_wb0p325_wm0p05_raw.csv
wa0p6_wb0p36_wm0p04_raw,0.6,0.36,0.04,,0.0,0.0,1.0,hard,blend,0.0,34.4754575952763,0.9982837960124016,0.9770109988749027,0.03974722442217171,42.339687920256175,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p6_wb0p36_wm0p04_raw.csv
wa0p62_wb0p34_wm0p04_raw,0.62,0.34,0.04,,0.0,0.0,1.0,hard,blend,0.0,34.475387197019536,0.9982837066054344,0.9770111180841923,0.03974631417077035,42.33961904447899,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p62_wb0p34_wm0p04_raw.csv
wa0p6_wb0p37_wm0p03_raw,0.6,0.37,0.03,,0.0,0.0,1.0,hard,blend,0.0,34.47361950740711,0.9982823543250561,0.9770051315426826,0.03962950318236835,42.33806489007807,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p6_wb0p37_wm0p03_raw.csv
wa0p62_wb0p35_wm0p03_raw,0.62,0.35,0.03,,0.0,0.0,1.0,hard,blend,0.0,34.47355264666805,0.9982821717858315,0.9770052507519722,0.03962895556469448,42.33799826775759,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p62_wb0p35_wm0p03_raw.csv
wa0p6_wb0p38_wm0p02_raw,0.6,0.38,0.02,,0.0,0.0,1.0,hard,blend,0.0,34.47161690508979,0.9982806853950024,0.9769986309111118,0.039513490977697074,42.33627129732663,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p6_wb0p38_wm0p02_raw.csv
wa0p62_wb0p36_wm0p02_raw,0.62,0.36,0.02,,0.0,0.0,1.0,hard,blend,0.0,34.471553534478744,0.9982805661857128,0.9769987538456917,0.039513372466899455,42.336207694350605,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke16/wa0p62_wb0p36_wm0p02_raw.csv
