route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,37.60037947551536,0.9987030476331711,0.988286167383194,0.02671839017421007,45.515733315732355,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p55_wb0p375_wm0p075_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,37.59990978399548,0.9987024664878845,0.988286167383194,0.026717974105849862,45.515260969477474,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p575_wb0p35_wm0p075_raw.csv
wa0p565_wb0p375_wm0p06_raw,0.565,0.375,0.06,,0.0,0.0,1.0,hard,37.59957669580129,0.9987017065286636,0.9882835149765015,0.02656276524066925,45.515228434444936,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p565_wb0p375_wm0p06_raw.csv
wa0p59_wb0p35_wm0p06_raw,0.59,0.35,0.06,,0.0,0.0,1.0,hard,37.59908466969042,0.9987012296915054,0.9882835447788239,0.02656524465419352,45.51472864808871,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p59_wb0p35_wm0p06_raw.csv
wa0p6_wb0p325_wm0p075_raw,0.6,0.325,0.075,,0.0,0.0,1.0,hard,37.59938293669971,0.9987025707960129,0.988286167383194,0.026723383460193872,45.51472392932179,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p6_wb0p325_wm0p075_raw.csv
wa0p575_wb0p375_wm0p05_raw,0.575,0.375,0.05,,0.0,0.0,1.0,hard,37.59873520173298,0.9986998587846756,0.9882809966802597,0.026462283451110125,45.51457178089933,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p575_wb0p375_wm0p05_raw.csv
wa0p615_wb0p325_wm0p06_raw,0.615,0.325,0.06,,0.0,0.0,1.0,hard,37.598535781044646,0.9987005144357681,0.9882835000753403,0.026566985761746764,45.51417189628644,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p615_wb0p325_wm0p06_raw.csv
wa0p625_wb0p3_wm0p075_raw,0.625,0.3,0.075,,0.0,0.0,1.0,hard,37.59879935907114,0.9987019002437592,0.9882861226797104,0.026724357390776277,45.51413429111156,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p625_wb0p3_wm0p075_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,37.598228678709795,0.9986997246742249,0.9882810562849045,0.026463876478374004,45.514061386368205,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p6_wb0p35_wm0p05_raw.csv
wa0p585_wb0p375_wm0p04_raw,0.585,0.375,0.04,,0.0,0.0,1.0,hard,37.59765025235344,0.9986988008022308,0.9882780164480209,0.026361237978562713,45.51367661410574,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p585_wb0p375_wm0p04_raw.csv
wa0p64_wb0p3_wm0p06_raw,0.64,0.3,0.06,,0.0,0.0,1.0,hard,37.597930457779555,0.9987001419067383,0.9882835149765015,0.026567615335807204,45.51356310850137,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p64_wb0p3_wm0p06_raw.csv
wa0p625_wb0p325_wm0p05_raw,0.625,0.325,0.05,,0.0,0.0,1.0,hard,37.59766598547458,0.9986992925405502,0.9882810860872269,0.02646575029939413,45.513492412293544,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p625_wb0p325_wm0p05_raw.csv
wa0p61_wb0p35_wm0p04_raw,0.61,0.35,0.04,,0.0,0.0,1.0,hard,37.59712937114192,0.998698353767395,0.9882779866456985,0.026361725758761168,45.51315201552016,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p61_wb0p35_wm0p04_raw.csv
wa0p65_wb0p3_wm0p05_raw,0.65,0.3,0.05,,0.0,0.0,1.0,hard,37.59704659993468,0.9986989349126816,0.9882809966802597,0.026465938426554203,45.51287032591818,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p65_wb0p3_wm0p05_raw.csv
wa0p635_wb0p325_wm0p04_raw,0.635,0.325,0.04,,0.0,0.0,1.0,hard,37.59655267275047,0.9986981451511383,0.9882779121398926,0.026364544173702598,45.51256827958968,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p635_wb0p325_wm0p04_raw.csv
wa0p595_wb0p375_wm0p03_raw,0.595,0.375,0.03,,0.0,0.0,1.0,hard,37.5963168780249,0.9986975193023682,0.988274335861206,0.026262703584507108,45.51252525839251,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p595_wb0p375_wm0p03_raw.csv
wa0p62_wb0p35_wm0p03_raw,0.62,0.35,0.03,,0.0,0.0,1.0,hard,37.59578248203559,0.9986972808837891,0.9882743954658508,0.02626417763531208,45.5119866029994,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p62_wb0p35_wm0p03_raw.csv
wa0p66_wb0p3_wm0p04_raw,0.66,0.3,0.04,,0.0,0.0,1.0,hard,37.59591862388895,0.9986973851919174,0.988277941942215,0.026367082959041,45.5119246530068,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p66_wb0p3_wm0p04_raw.csv
wa0p645_wb0p325_wm0p03_raw,0.645,0.325,0.03,,0.0,0.0,1.0,hard,37.595191240918055,0.9986968636512756,0.988274335861206,0.026266912929713726,45.51138726868869,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p645_wb0p325_wm0p03_raw.csv
wa0p67_wb0p3_wm0p03_raw,0.67,0.3,0.03,,0.0,0.0,1.0,hard,37.59454356630948,0.9986959248781204,0.9882743060588837,0.026267260778695345,45.51073320613858,experiments/router_metrics_20260512/hat_hat_mambairv2_lowmamba_fine_smoke4/wa0p67_wb0p3_wm0p03_raw.csv
