route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,0.0,0.0,1.0,hard,37.600618767609426,0.9987027794122696,0.9882871359586716,0.02671778271906078,45.515974150562265,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p55_wb0p375_wm0p075_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,0.0,0.0,1.0,hard,37.6001489446949,0.9987025707960129,0.9882870316505432,0.026719096582382917,45.5155002396073,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p575_wb0p35_wm0p075_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,37.598390867227415,0.998699888586998,0.9882816523313522,0.026462987530976534,45.514227528350155,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p6_wb0p35_wm0p05_raw.csv
wa0p55_wb0p375_wm0p075_sh001,0.55,0.375,0.075,cubic,0.0,0.01,1.0,hard,37.59819434193853,0.9986998289823532,0.9882861077785492,0.026398478774353862,45.51416857384104,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p55_wb0p375_wm0p075_sh001.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,0.0,0.0,1.0,hard,37.59932745699269,0.9987050592899323,0.9882888346910477,0.026985667180269957,45.51416414775384,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p6_wb0p3_wm0p1_raw.csv
wa0p575_wb0p35_wm0p075_sh001,0.575,0.35,0.075,cubic,0.0,0.01,1.0,hard,37.597729728130986,0.9986997097730637,0.9882861524820328,0.026398423593491316,45.51370344454645,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p575_wb0p35_wm0p075_sh001.csv
wa0p6_wb0p3_wm0p1_sh001,0.6,0.3,0.1,cubic,0.0,0.01,1.0,hard,37.59758239006178,0.9987021088600159,0.9882883429527283,0.026658928487449884,45.51305387215243,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p6_wb0p3_wm0p1_sh001.csv
wa0p65_wb0p3_wm0p05_raw,0.65,0.3,0.05,,0.0,0.0,1.0,hard,37.59720918203263,0.9986988306045532,0.9882815927267075,0.026465934002771974,45.51303348310782,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p65_wb0p3_wm0p05_raw.csv
wa0p6_wb0p35_wm0p05_sh001,0.6,0.35,0.05,cubic,0.0,0.01,1.0,hard,37.595288406731555,0.9986966103315353,0.9882801473140717,0.026149268727749586,45.51172982589341,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p6_wb0p35_wm0p05_sh001.csv
wa0p65_wb0p3_wm0p05_sh001,0.65,0.3,0.05,cubic,0.0,0.01,1.0,hard,37.594115730410834,0.9986955225467682,0.9882801026105881,0.026150673627853394,45.51054772365691,experiments/router_metrics_20260512/hat_hat_mambairv2_sharpen_smoke4/wa0p65_wb0p3_wm0p05_sh001.csv
