route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,0.0,37.599712386021615,0.9987050294876099,0.9882855266332626,0.026977531146258116,45.51455855392128,
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,0.0,37.59805557707458,0.9986999332904816,0.9882799535989761,0.026463727466762066,45.5138876290819,
wa0p55_wb0p35_wm0p1_raw_k0p998_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,0.001,37.58259917121298,0.9984557777643204,0.9882848262786865,0.027002495247870684,45.49589849986054,
wa0p55_wb0p35_wm0p1_raw_g0p995_k0p998_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.995,0.998,-0.001,37.58033891876778,0.9987033903598785,0.9882844090461731,0.02701205713674426,45.49510396474591,
wa0p6_wb0p35_wm0p05_raw_k0p998_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,0.001,37.5807259438732,0.9984464794397354,0.9882793426513672,0.026478350162506104,45.49500680548933,
wa0p6_wb0p35_wm0p05_raw_g0p995_k0p998_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.995,0.998,-0.001,37.57919630582913,0.9986991733312607,0.988278791308403,0.026491316966712475,45.494966294500074,
wa0p55_wb0p35_wm0p1_raw_g1p005_k1p002_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.002,0.001,37.5784416363682,0.9984540790319443,0.9882809817790985,0.02693989174440503,45.49184829062925,
wa0p55_wb0p35_wm0p1_raw_k1p002_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,-0.001,37.5762451449102,0.9986989796161652,0.9882846474647522,0.026954970322549343,45.4910983768916,
wa0p6_wb0p35_wm0p05_raw_k1p002_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,-0.001,37.57504187337444,0.9986957013607025,0.9882792085409164,0.026436823653057218,45.49090085131437,
wa0p6_wb0p35_wm0p05_raw_g1p005_k1p002_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.002,0.001,37.57651131975304,0.9984447360038757,0.9882760792970657,0.026426294818520546,45.49087930473338,
wa0p6_wb0p35_wm0p05_raw_g1p005_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.0,0.001,37.49658312601622,0.9984512180089951,0.9882762581110001,0.026455046609044075,45.4109328570741,
wa0p55_wb0p35_wm0p1_raw_g1p005_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.0,0.001,37.49504595399604,0.9984601736068726,0.9882814735174179,0.026974128792062402,45.40842168508799,
wa0p55_wb0p35_wm0p1_raw_g0p995_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.0,-0.001,37.486615655423776,0.9987015277147293,0.9882844090461731,0.026985581731423736,45.40142247634165,
wa0p6_wb0p35_wm0p05_raw_g0p995_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.0,-0.001,37.482730302629776,0.9986972063779831,0.9882787466049194,0.0264656541403383,45.398539725826836,
wa0p6_wb0p35_wm0p05_raw_k0p998,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,0.0,37.474128212468905,0.9986954927444458,0.988279864192009,0.026488640811294317,45.38988361569701,
wa0p55_wb0p35_wm0p1_raw_k0p998,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,0.0,37.47219246963802,0.9987011700868607,0.9882855117321014,0.027010913472622633,45.38694868667814,
wa0p55_wb0p35_wm0p1_raw_k1p002,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,0.0,37.46339412643747,0.9986991286277771,0.988285481929779,0.026950518134981394,45.37825882579373,
wa0p6_wb0p35_wm0p05_raw_k1p002,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,0.0,37.45923485774008,0.9986933916807175,0.988280177116394,0.026435984298586845,45.37508359346,
wa0p6_wb0p35_wm0p05_raw_g1p005_k1p002,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.002,0.0,37.420238368504684,0.9986886382102966,0.9882762432098389,0.02644073637202382,45.336041211442094,
wa0p6_wb0p35_wm0p05_raw_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,-0.001,37.41770421245781,0.9986890256404877,0.9882787317037582,0.02646474726498127,45.33346633517829,
wa0p55_wb0p35_wm0p1_raw_g1p005_k1p002,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.002,0.0,37.418340539532096,0.9986942559480667,0.9882814437150955,0.02695615030825138,45.333156662034185,
wa0p55_wb0p35_wm0p1_raw_g0p995_k0p998,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.995,0.998,0.0,37.41760473348703,0.998696580529213,0.988284170627594,0.027016719803214073,45.33231911831107,
wa0p55_wb0p35_wm0p1_raw_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,-0.001,37.41540891468659,0.9986932128667831,0.988284170627594,0.026983866933733225,45.33016879927501,
wa0p6_wb0p35_wm0p05_raw_g0p995_k0p998,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.995,0.998,0.0,37.41386166601757,0.9986903667449951,0.9882784932851791,0.026497445534914732,45.32956596198807,
wa0p55_wb0p35_wm0p1_raw_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,0.001,37.41262597062652,0.9984516799449921,0.9882851541042328,0.02697673416696489,45.32595289017101,
