route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p55_wb0p25_wm0p2_linear_b010,0.55,0.25,0.2,,linear,0.01,0.0,1.0,hard,blend,0.0,,,,,33.89191204675267,0.9979630629221599,0.976937952140967,0.046907048028757954,41.73975223251006,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p55_wb0p25_wm0p2_linear_b010.csv
wa0p45_wb0p35_wm0p2_linear_b010,0.45,0.35,0.2,,linear,0.01,0.0,1.0,hard,blend,0.0,,,,,33.891548916914765,0.9979675799608231,0.9769352947672209,0.04691231682372745,41.73940035256668,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p45_wb0p35_wm0p2_linear_b010.csv
wa0p55_wb0p25_wm0p2_cubic_b005,0.55,0.25,0.2,,cubic,0.005,0.0,1.0,hard,blend,0.0,,,,,33.89049486983715,0.9979628781477611,0.9769405474265417,0.0467344815833106,41.738684270410175,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p55_wb0p25_wm0p2_cubic_b005.csv
wa0p525_wb0p25_wm0p225_linear_b010,0.525,0.25,0.225,,linear,0.01,0.0,1.0,hard,blend,0.0,,,,,33.891047359445885,0.9979610691467921,0.9769334544738134,0.04704081359717141,41.73859905607992,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p525_wb0p25_wm0p225_linear_b010.csv
wa0p5_wb0p275_wm0p225_linear_b010,0.5,0.275,0.225,,linear,0.01,0.0,1.0,hard,blend,0.0,,,,,33.89097444997889,0.997962653140227,0.9769328325986862,0.047042279251521296,41.738531475514584,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p5_wb0p275_wm0p225_linear_b010.csv
wa0p45_wb0p35_wm0p2_cubic_b005,0.45,0.35,0.2,,cubic,0.005,0.0,1.0,hard,blend,0.0,,,,,33.89012854708613,0.9979673435290655,0.9769378637274106,0.046739986412770426,41.7383283628898,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p45_wb0p35_wm0p2_cubic_b005.csv
wa0p525_wb0p25_wm0p225_cubic_b005,0.525,0.25,0.225,,cubic,0.005,0.0,1.0,hard,blend,0.0,,,,,33.88963321174251,0.9979607979456584,0.9769359673062961,0.04686856388822586,41.73753280625261,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p525_wb0p25_wm0p225_cubic_b005.csv
wa0p5_wb0p275_wm0p225_cubic_b005,0.5,0.275,0.225,,cubic,0.005,0.0,1.0,hard,blend,0.0,,,,,33.88955959881314,0.9979624236623447,0.9769353578488033,0.0468697832877903,41.73746528990924,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p5_wb0p275_wm0p225_cubic_b005.csv
wa0p55_wb0p25_wm0p2_raw,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,33.88882368237935,0.9979614774386089,0.9769372185071309,0.04652652566680141,41.737413932691666,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p55_wb0p25_wm0p2_raw.csv
wa0p45_wb0p35_wm0p2_raw,0.45,0.35,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,33.88844987297696,0.9979659825563431,0.9769345139463742,0.04653210488516682,41.73705058643744,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p45_wb0p35_wm0p2_raw.csv
wa0p525_wb0p25_wm0p225_raw,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,33.88798035400486,0.9979592954119046,0.9769326771299044,0.046660178835251524,41.7362811230656,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p525_wb0p25_wm0p225_raw.csv
wa0p5_wb0p275_wm0p225_raw,0.5,0.275,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,33.88790505218228,0.9979610035816828,0.9769320363799731,0.046661622642811075,41.7362119011467,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p5_wb0p275_wm0p225_raw.csv
wa0p6_wb0p35_wm0p05_linear_b010,0.6,0.35,0.05,,linear,0.01,0.0,1.0,hard,blend,0.0,,,,,33.88224451871106,0.9979667464892069,0.976896337668101,0.04610360907487727,41.731630454832754,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p6_wb0p35_wm0p05_linear_b010.csv
wa0p6_wb0p35_wm0p05_cubic_b005,0.6,0.35,0.05,,cubic,0.005,0.0,1.0,hard,blend,0.0,,,,,33.88068377923288,0.9979664325714112,0.9768990973631541,0.04593357268216399,41.73041342402333,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p6_wb0p35_wm0p05_cubic_b005.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,,0.0,0.0,1.0,hard,blend,0.0,,,,,33.87876920628108,0.997965162495772,0.9768951291839282,0.04572772602502179,41.72889498757352,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_full120/wa0p6_wb0p35_wm0p05_raw.csv
