route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p45_wb0p35_wm0p2_raw,0.45,0.35,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34981780287117,0.9981327548623085,0.9804191187024116,0.03914243297185749,43.22116770350613,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p45_wb0p35_wm0p2_raw.csv
wa0p425_wb0p375_wm0p2_raw,0.425,0.375,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34966767258409,0.9981330677866935,0.9804183408617974,0.03914377255714498,43.22101521591355,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p425_wb0p375_wm0p2_raw.csv
wa0p4_wb0p4_wm0p2_raw,0.4,0.4,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.3494828513012,0.9981334209442139,0.9804175540804863,0.039145994384307416,43.22082649635884,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p4_wb0p4_wm0p2_raw.csv
wa0p375_wb0p425_wm0p2_raw,0.375,0.425,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.349263442815115,0.9981335207819939,0.9804166927933693,0.03914805243257433,43.22060184822867,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p375_wb0p425_wm0p2_raw.csv
wa0p475_wb0p35_wm0p175_raw,0.475,0.35,0.175,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34887199717349,0.9981335267424584,0.9804157093167305,0.039039116661297155,43.220426342939106,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p475_wb0p35_wm0p175_raw.csv
wa0p45_wb0p375_wm0p175_raw,0.45,0.375,0.175,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.3487511490758,0.9981338515877723,0.9804149508476258,0.03904089945717715,43.22030236138333,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p45_wb0p375_wm0p175_raw.csv
wa0p425_wb0p4_wm0p175_raw,0.425,0.4,0.175,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34859545269551,0.9981339797377586,0.9804141506552696,0.03904363516485319,43.2201403621029,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p425_wb0p4_wm0p175_raw.csv
wa0p4_wb0p425_wm0p175_raw,0.4,0.425,0.175,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34840529333552,0.9981340125203133,0.9804133132100106,0.03904551054583862,43.219944973785736,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p4_wb0p425_wm0p175_raw.csv
wa0p5_wb0p35_wm0p15_raw,0.5,0.35,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34712505861406,0.998133796453476,0.9804095640778542,0.03893651519319974,43.21887393510423,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p5_wb0p35_wm0p15_raw.csv
wa0p475_wb0p375_wm0p15_raw,0.475,0.375,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34703339220514,0.9981340944766999,0.9804087921977043,0.03893797754426487,43.21877958837222,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p475_wb0p375_wm0p15_raw.csv
wa0p45_wb0p4_wm0p15_raw,0.45,0.4,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34690701098974,0.998134259879589,0.9804079845547676,0.03894037479185499,43.218647789793096,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p45_wb0p4_wm0p15_raw.csv
wa0p425_wb0p425_wm0p15_raw,0.425,0.425,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34674606292968,0.9981342345476151,0.980407141149044,0.03894213578896597,43.21848148093553,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p425_wb0p425_wm0p15_raw.csv
wa0p525_wb0p35_wm0p125_raw,0.525,0.35,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34457938149997,0.9981335058808327,0.980400662124157,0.038833487743977456,43.21651476554532,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p525_wb0p35_wm0p125_raw.csv
wa0p5_wb0p375_wm0p125_raw,0.5,0.375,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.344516846336305,0.9981338515877723,0.9803999125957489,0.038835319771897046,43.216449141510644,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p5_wb0p375_wm0p125_raw.csv
wa0p475_wb0p4_wm0p125_raw,0.475,0.4,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34441979999696,0.998133884370327,0.9803991228342056,0.038837787695229053,43.21634577649688,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p475_wb0p4_wm0p125_raw.csv
wa0p45_wb0p425_wm0p125_raw,0.45,0.425,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34428828662537,0.9981339141726494,0.9803982883691787,0.0388398427166976,43.21620866296623,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p45_wb0p425_wm0p125_raw.csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34123868308954,0.9981329068541527,0.9803890436887741,0.03873055023141205,43.21335311112918,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p55_wb0p35_wm0p1_raw.csv
wa0p525_wb0p375_wm0p1_raw,0.525,0.375,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34120537362561,0.9981330066919327,0.9803883224725723,0.03873261013650335,43.21331483844934,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p525_wb0p375_wm0p1_raw.csv
wa0p5_wb0p4_wm0p1_raw,0.5,0.4,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34113747294238,0.9981331259012223,0.9803875640034676,0.03873485130025074,43.21324165375614,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p5_wb0p4_wm0p1_raw.csv
wa0p475_wb0p425_wm0p1_raw,0.475,0.425,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34103515706765,0.9981331944465637,0.9803866937756538,0.038737231289269404,43.21313324871981,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p475_wb0p425_wm0p1_raw.csv
wa0p55_wb0p4_wm0p05_raw,0.55,0.4,0.05,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.33220549551965,0.9981304377317428,0.9803560763597489,0.038528730382677165,43.20464281386425,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p55_wb0p4_wm0p05_raw.csv
wa0p6_wb0p35_wm0p05_raw,0.6,0.35,0.05,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.332190167896556,0.9981302693486214,0.9803575485944748,0.03852529480936937,43.2046362915585,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40/wa0p6_wb0p35_wm0p05_raw.csv
