route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p5_wb0p3_wm0p2_raw_hp3,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34959676287791,0.9981383666396141,0.9804209142923355,0.03914774864097126,43.22097329401832,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p3_wm0p2_raw_hp3.csv
wa0p525_wb0p25_wm0p225_raw_hp3,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.3497626288585,0.9981384426355362,0.9804229766130448,0.03924808797892183,43.22094306193996,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p525_wb0p25_wm0p225_raw_hp3.csv
wa0p5_wb0p3_wm0p2_raw_hp2,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.34947206688373,0.9981380879878998,0.9804209098219872,0.039147053140914066,43.220848308173274,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p3_wm0p2_raw_hp2.csv
wa0p525_wb0p25_wm0p225_raw_hp2,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.34964578218725,0.9981381639838218,0.9804231524467468,0.03924554489785805,43.22082998118796,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p525_wb0p25_wm0p225_raw_hp2.csv
wa0p55_wb0p25_wm0p2_raw_hp3,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34938426995758,0.9981381312012673,0.9804221212863922,0.0391430267773103,43.22077124618335,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p25_wm0p2_raw_hp3.csv
wa0p55_wb0p25_wm0p2_raw_hp2,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.349238959046616,0.9981376320123673,0.9804220944643021,0.03914353383006528,43.220621872389295,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p25_wm0p2_raw_hp2.csv
wa0p45_wb0p3_wm0p25_raw_hp3,0.45,0.3,0.25,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34953395737497,0.9981386572122574,0.9804199650883675,0.039354738779366016,43.22049635326652,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p3_wm0p25_raw_hp3.csv
wa0p45_wb0p3_wm0p25_raw_hp2,0.45,0.3,0.25,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.3494801546793,0.9981384232640267,0.9804202988743782,0.03935161281842738,43.220448066375354,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p3_wm0p25_raw_hp2.csv
wa0p5_wb0p25_wm0p25_raw_hp3,0.5,0.25,0.25,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34938191131744,0.9981384575366974,0.9804211989045143,0.03935083961696364,43.22035337511272,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p25_wm0p25_raw_hp3.csv
wa0p5_wb0p25_wm0p25_raw_hp2,0.5,0.25,0.25,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.349303916762594,0.9981382384896278,0.9804215252399444,0.039348626747960226,43.22027914468433,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p25_wm0p25_raw_hp2.csv
wa0p45_wb0p3_wm0p25_raw_hp1,0.45,0.3,0.25,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.34827791130625,0.9981365591287613,0.9804189816117287,0.03917663714382798,43.21958195501461,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p3_wm0p25_raw_hp1.csv
wa0p525_wb0p25_wm0p225_raw_hp1,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.347940011259126,0.9981361001729965,0.9804188922047615,0.039088701363652945,43.21941699397932,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p525_wb0p25_wm0p225_raw_hp1.csv
wa0p5_wb0p25_wm0p25_raw_hp1,0.5,0.25,0.25,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.3480595303144,0.9981359884142875,0.9804202169179916,0.03917293367558159,43.21937002728495,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p25_wm0p25_raw_hp1.csv
wa0p5_wb0p3_wm0p2_raw_hp1,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.34747209542478,0.9981362044811248,0.9804143473505974,0.03900661912630312,43.21910477876011,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p3_wm0p2_raw_hp1.csv
wa0p55_wb0p25_wm0p2_raw_hp1,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.3472021005322,0.9981357276439666,0.980415578186512,0.039002827764488754,43.21884196724005,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p25_wm0p2_raw_hp1.csv
wa0p55_wb0p3_wm0p15_raw_hp3,0.55,0.3,0.15,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.346623923859866,0.998136892914772,0.9804111286997795,0.03893989464268088,43.21838774946269,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p3_wm0p15_raw_hp3.csv
wa0p55_wb0p3_wm0p15_raw_hp2,0.55,0.3,0.15,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.34646905961936,0.998136579990387,0.9804109111428261,0.03893961067078635,43.21823114050576,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p3_wm0p15_raw_hp2.csv
wa0p45_wb0p25_wm0p3_raw_hp1,0.45,0.25,0.3,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.34643734926003,0.9981353938579559,0.9804169327020645,0.03933898172108456,43.217405614369724,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p25_wm0p3_raw_hp1.csv
wa0p45_wb0p25_wm0p3_raw_hp2,0.45,0.25,0.3,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.34636668709993,0.9981374442577362,0.9804100155830383,0.03955296599888243,43.21690545181466,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p25_wm0p3_raw_hp2.csv
wa0p45_wb0p25_wm0p3_raw_hp3,0.45,0.25,0.3,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34633677666254,0.9981377318501472,0.9804091975092888,0.03955524730263278,43.21687106817674,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p25_wm0p3_raw_hp3.csv
wa0p55_wb0p3_wm0p15_raw_hp1,0.55,0.3,0.15,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.344192669981815,0.9981349095702171,0.9804018020629883,0.038836785627063365,43.216132160274974,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p3_wm0p15_raw_hp1.csv
wa0p6_wb0p3_wm0p1_raw_hp3,0.6,0.3,0.1,,,0.0,0.0,1.0,hard,highpass,3.0,,,,,35.34063690581889,0.9981341674923897,0.9803905129432678,0.03873152905143797,43.21275987855688,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p6_wb0p3_wm0p1_raw_hp3.csv
wa0p6_wb0p3_wm0p1_raw_hp2,0.6,0.3,0.1,,,0.0,0.0,1.0,hard,highpass,2.0,,,,,35.340492805696655,0.9981338769197464,0.9803902044892311,0.0387314188061282,43.21261363858134,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p6_wb0p3_wm0p1_raw_hp2.csv
wa0p45_wb0p25_wm0p3_raw_hp0p5,0.45,0.25,0.3,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.3394317024618,0.9981328457593918,0.9803832069039344,0.03870185349369422,43.21159148383863,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p25_wm0p3_raw_hp0p5.csv
wa0p6_wb0p3_wm0p1_raw_hp1,0.6,0.3,0.1,,,0.0,0.0,1.0,hard,highpass,1.0,,,,,35.3384602242794,0.9981326177716255,0.980381292104721,0.0386630070861429,43.21069250094631,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p6_wb0p3_wm0p1_raw_hp1.csv
wa0p45_wb0p3_wm0p25_raw_hp0p5,0.45,0.3,0.25,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.33740048632214,0.9981324464082718,0.9803736209869385,0.03864178390358575,43.20965883893847,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p45_wb0p3_wm0p25_raw_hp0p5.csv
wa0p5_wb0p25_wm0p25_raw_hp0p5,0.5,0.25,0.25,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.337185534974594,0.9981318846344948,0.9803752452135086,0.03863668543053791,43.2094539623475,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p25_wm0p25_raw_hp0p5.csv
wa0p525_wb0p25_wm0p225_raw_hp0p5,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.33589361210525,0.9981312677264214,0.9803708180785179,0.03860358437523246,43.20821568587036,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p525_wb0p25_wm0p225_raw_hp0p5.csv
wa0p5_wb0p3_wm0p2_raw_hp0p5,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.334764406648326,0.998131288588047,0.980364590883255,0.03857750141760334,43.207126317107914,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p5_wb0p3_wm0p2_raw_hp0p5.csv
wa0p55_wb0p25_wm0p2_raw_hp0p5,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.33449054943356,0.9981305301189423,0.9803660571575165,0.03857102093170397,43.20686380259884,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p25_wm0p2_raw_hp0p5.csv
wa0p55_wb0p3_wm0p15_raw_hp0p5,0.55,0.3,0.15,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.33167331260797,0.998130002617836,0.9803543075919151,0.03851136608864181,43.20413921132153,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p55_wb0p3_wm0p15_raw_hp0p5.csv
wa0p6_wb0p3_wm0p1_raw_hp0p5,0.6,0.3,0.1,,,0.0,0.0,1.0,hard,highpass,0.5,,,,,35.32813674463641,0.9981284752488137,0.9803427815437317,0.03844446677831002,43.20070422566014,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_highpass/wa0p6_wb0p3_wm0p1_raw_hp0p5.csv
