route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p525_wb0p25_wm0p225_raw,0.525,0.25,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.350330116305585,0.9981275573372841,0.9804225042462349,0.03923689475050196,43.221466679320756,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p525_wb0p25_wm0p225_raw.csv
wa0p5_wb0p275_wm0p225_raw,0.5,0.275,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35028978664034,0.9981288641691208,0.9804219231009483,0.03923889067955315,43.22142903649786,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p5_wb0p275_wm0p225_raw.csv
wa0p55_wb0p25_wm0p2_raw,0.55,0.25,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35007102434505,0.9981291264295578,0.9804217383265496,0.03913414310663939,43.22142097336221,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p55_wb0p25_wm0p2_raw.csv
wa0p525_wb0p275_wm0p2_raw,0.525,0.275,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35005977959428,0.9981303721666336,0.9804211527109146,0.039136338944081216,43.22141164012775,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p525_wb0p275_wm0p2_raw.csv
wa0p5_wb0p3_wm0p2_raw,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35001374957812,0.9981312811374664,0.9804205283522606,0.03913881562184542,43.22136486186375,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p5_wb0p3_wm0p2_raw.csv
wa0p475_wb0p3_wm0p225_raw,0.475,0.3,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35021473688066,0.9981298893690109,0.9804212838411331,0.03924137279391289,43.22135389518916,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p475_wb0p3_wm0p225_raw.csv
wa0p475_wb0p325_wm0p2_raw,0.475,0.325,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.349933141635795,0.9981322094798089,0.9804198533296585,0.039139615884050724,43.221286873405866,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p475_wb0p325_wm0p2_raw.csv
wa0p45_wb0p325_wm0p225_raw,0.45,0.325,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.35010503894734,0.9981306493282318,0.9804206103086471,0.039243687357520686,43.22124278081899,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p45_wb0p325_wm0p225_raw.csv
wa0p45_wb0p35_wm0p2_raw,0.45,0.35,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34981780287117,0.9981327548623085,0.9804191187024116,0.03914243297185749,43.22116770350613,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p45_wb0p35_wm0p2_raw.csv
wa0p425_wb0p35_wm0p225_raw,0.425,0.35,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34996049174749,0.9981313779950142,0.9804198637604713,0.03924568641232327,43.22109711441387,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p425_wb0p35_wm0p225_raw.csv
wa0p425_wb0p375_wm0p2_raw,0.425,0.375,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34966767258409,0.9981330677866935,0.9804183408617974,0.03914377255714498,43.22101521591355,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p425_wb0p375_wm0p2_raw.csv
wa0p4_wb0p375_wm0p225_raw,0.4,0.375,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34978121449622,0.9981318816542626,0.9804191082715988,0.03924684509402141,43.220917030776945,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p4_wb0p375_wm0p225_raw.csv
wa0p4_wb0p4_wm0p2_raw,0.4,0.4,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.3494828513012,0.9981334209442139,0.9804175540804863,0.039145994384307416,43.22082649635884,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p4_wb0p4_wm0p2_raw.csv
wa0p5_wb0p25_wm0p25_raw,0.5,0.25,0.25,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.34978452784717,0.998125459253788,0.9804205894470215,0.03933964793686755,43.22069916639021,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p5_wb0p25_wm0p25_raw.csv
wa0p375_wb0p4_wm0p225_raw,0.375,0.4,0.225,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.349567186296056,0.9981321275234223,0.980418299138546,0.0392490774334874,43.2206983948467,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_probe40_wide/wa0p375_wb0p4_wm0p225_raw.csv
