route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p425_wb0p425_wm0p15_raw,0.425,0.425,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.75790200171268,0.9984685182571411,0.9834822453558445,0.035804460901999846,43.644068680163215,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p425_wb0p425_wm0p15_raw.csv
wa0p45_wb0p4_wm0p15_raw,0.45,0.4,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.75788688290827,0.9984685331583023,0.9834827668964863,0.03580432751914486,43.64405496061276,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p45_wb0p4_wm0p15_raw.csv
wa0p475_wb0p375_wm0p15_raw,0.475,0.375,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.75784157141409,0.9984682612121105,0.9834832698106766,0.035803910286631435,43.644009857734844,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p475_wb0p375_wm0p15_raw.csv
wa0p45_wb0p425_wm0p125_raw,0.45,0.425,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.757555763762994,0.9984692931175232,0.9834801554679871,0.035695514699909836,43.64394080400429,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p45_wb0p425_wm0p125_raw.csv
wa0p5_wb0p35_wm0p15_raw,0.5,0.35,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.7577659380152,0.9984679818153381,0.9834837317466736,0.03580425592372194,43.64393278055313,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p5_wb0p35_wm0p15_raw.csv
wa0p475_wb0p4_wm0p125_raw,0.475,0.4,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.75751503979115,0.9984692558646202,0.9834806472063065,0.03569507514475845,43.64390171910197,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p475_wb0p4_wm0p125_raw.csv
wa0p5_wb0p375_wm0p125_raw,0.5,0.375,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.757444209234194,0.9984691925346851,0.9834811240434647,0.03569547738879919,43.643830657751636,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p5_wb0p375_wm0p125_raw.csv
wa0p525_wb0p325_wm0p15_raw,0.525,0.325,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.757660124047575,0.9984674379229546,0.983484148979187,0.03580363001674414,43.64382578951019,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p525_wb0p325_wm0p15_raw.csv
wa0p525_wb0p35_wm0p125_raw,0.525,0.35,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.757343372569274,0.9984685964882374,0.9834815450012684,0.03569552069529891,43.64372700011064,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p525_wb0p35_wm0p125_raw.csv
wa0p55_wb0p325_wm0p125_raw,0.55,0.325,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,35.757212103111634,0.9984684400260448,0.9834819287061691,0.035695067956112325,43.64359646476802,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke16_unique/wa0p55_wb0p325_wm0p125_raw.csv
