route,weight_hat_a,weight_hat_b,weight_mamba,weight_atd,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,mamba_gray_mode,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p45_wb0p4_wm0p15_raw,0.45,0.4,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60811612842839,0.998690202832222,0.9882690906524658,0.026798754697665572,45.523198017331325,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p45_wb0p4_wm0p15_raw.csv
wa0p475_wb0p4_wm0p125_raw,0.475,0.4,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60780050241427,0.9986912757158279,0.9882737994194031,0.02665680949576199,45.52318213655652,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p475_wb0p4_wm0p125_raw.csv
wa0p475_wb0p375_wm0p15_raw,0.475,0.375,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60792999583586,0.9986893832683563,0.9882692247629166,0.026797915576025844,45.52300891381978,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p475_wb0p375_wm0p15_raw.csv
wa0p5_wb0p375_wm0p125_raw,0.5,0.375,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.6075571788249,0.9986919611692429,0.9882739335298538,0.026657666778191924,45.52294147934368,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p5_wb0p375_wm0p125_raw.csv
wa0p5_wb0p35_wm0p15_raw,0.5,0.35,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60768612416821,0.9986890852451324,0.9882693737745285,0.02680194703862071,45.52275548911082,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p5_wb0p35_wm0p15_raw.csv
wa0p525_wb0p35_wm0p125_raw,0.525,0.35,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60725733930619,0.9986907541751862,0.9882739633321762,0.02666044537909329,45.52262890026347,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p525_wb0p35_wm0p125_raw.csv
wa0p525_wb0p325_wm0p15_raw,0.525,0.325,0.15,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.607385057548925,0.9986882954835892,0.9882694482803345,0.02680310793220997,45.52244751114671,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p525_wb0p325_wm0p15_raw.csv
wa0p55_wb0p325_wm0p125_raw,0.55,0.325,0.125,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.606899356720064,0.9986901730298996,0.9882740080356598,0.02666191291064024,45.5222645851495,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p55_wb0p325_wm0p125_raw.csv
wa0p5_wb0p4_wm0p1_raw,0.5,0.4,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.606493163395356,0.9986925274133682,0.9882759898900986,0.026516062207520008,45.52216818324072,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p5_wb0p4_wm0p1_raw.csv
wa0p525_wb0p375_wm0p1_raw,0.525,0.375,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.6061936128897,0.99869205057621,0.9882760494947433,0.026518574450165033,45.521860866436114,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p525_wb0p375_wm0p1_raw.csv
wa0p55_wb0p35_wm0p1_raw,0.55,0.35,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.605836709855296,0.99869205057621,0.9882760941982269,0.026520296232774854,45.52150060924346,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p55_wb0p35_wm0p1_raw.csv
wa0p575_wb0p325_wm0p1_raw,0.575,0.325,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60542335462754,0.9986914247274399,0.9882761240005493,0.026524017797783017,45.52107611539771,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p575_wb0p325_wm0p1_raw.csv
wa0p6_wb0p3_wm0p1_raw,0.6,0.3,0.1,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.604952243006245,0.9986912608146667,0.9882761836051941,0.02652399567887187,45.52060418374689,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p6_wb0p3_wm0p1_raw.csv
wa0p525_wb0p4_wm0p075_raw,0.525,0.4,0.075,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60419562394412,0.998693123459816,0.9882756769657135,0.02637645578943193,45.52015280705558,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p525_wb0p4_wm0p075_raw.csv
wa0p425_wb0p375_wm0p2_raw,0.425,0.375,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.605693468714634,0.9986845701932907,0.9882524460554123,0.02708802232518792,45.52012973733483,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p425_wb0p375_wm0p2_raw.csv
wa0p45_wb0p35_wm0p2_raw,0.45,0.35,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60556414030274,0.9986839592456818,0.988252580165863,0.027091022115200758,45.519991011878155,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p45_wb0p35_wm0p2_raw.csv
wa0p475_wb0p325_wm0p2_raw,0.475,0.325,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60537684356269,0.9986835569143295,0.9882526248693466,0.027091522002592683,45.51980039078217,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p475_wb0p325_wm0p2_raw.csv
wa0p55_wb0p375_wm0p075_raw,0.55,0.375,0.075,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60384021664102,0.9986931532621384,0.9882757365703583,0.026378634618595243,45.519793340117374,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p55_wb0p375_wm0p075_raw.csv
wa0p5_wb0p3_wm0p2_raw,0.5,0.3,0.2,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60513201521114,0.998681977391243,0.9882527887821198,0.027093416079878807,45.51954262496308,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p5_wb0p3_wm0p2_raw.csv
wa0p575_wb0p35_wm0p075_raw,0.575,0.35,0.075,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.603427674046685,0.9986931681632996,0.988275870680809,0.026379397604614496,45.51937962917887,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p575_wb0p35_wm0p075_raw.csv
wa0p6_wb0p325_wm0p075_raw,0.6,0.325,0.075,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.602958298684534,0.9986925274133682,0.9882758557796478,0.026382305659353733,45.51890056340533,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p6_wb0p325_wm0p075_raw.csv
wa0p55_wb0p4_wm0p05_raw,0.55,0.4,0.05,,,0.0,0.0,1.0,hard,blend,0.0,,,,,37.60091072333624,0.9986936450004578,0.9882729649543762,0.026239634258672595,45.517139254730395,experiments/router_metrics_20260512/hat_hat_mambairv2l_dflip_smoke4/wa0p55_wb0p4_wm0p05_raw.csv
