route,weight_cur,weight_prev,weight_sst,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p525_wprev0p175_wsst0p3_wmamba0_raw,0.525,0.175,0.3,0.0,,0.0,0.0,1.0,hard,33.95002816680526,0.9979847406347593,0.9773343910773595,0.045427940612717065,41.8017495115431,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p525_wprev0p175_wsst0p3_wmamba0_raw.csv
wcur0p5_wprev0p15_wsst0p325_wmamba0p025_raw,0.5,0.15,0.325,0.025,,0.0,0.0,1.0,hard,33.95005480557024,0.9979841987291972,0.9773435135682423,0.045529357899795286,41.801588309282316,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p5_wprev0p15_wsst0p325_wmamba0p025_raw.csv
wcur0p5_wprev0p175_wsst0p3_wmamba0p025_raw,0.5,0.175,0.3,0.025,,0.0,0.0,1.0,hard,33.95005628577528,0.9979855755964915,0.9773334304491679,0.045559704005912256,41.80151719224074,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p5_wprev0p175_wsst0p3_wmamba0p025_raw.csv
wcur0p525_wprev0p15_wsst0p3_wmamba0p025_raw,0.525,0.15,0.3,0.025,,0.0,0.0,1.0,hard,33.94993866210661,0.9979849288860957,0.9773336569468181,0.04555877183302073,41.801398005650775,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p525_wprev0p15_wsst0p3_wmamba0p025_raw.csv
wcur0p475_wprev0p175_wsst0p3_wmamba0p05_raw,0.475,0.175,0.3,0.05,,0.0,0.0,1.0,hard,33.94934314778781,0.9979859073956807,0.9773292591174444,0.04569135034738186,41.80053440970201,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p475_wprev0p175_wsst0p3_wmamba0p05_raw.csv
wcur0p5_wprev0p15_wsst0p3_wmamba0p05_raw,0.5,0.15,0.3,0.05,,0.0,0.0,1.0,hard,33.94924697699552,0.9979851687947909,0.9773295154174169,0.04569042654135653,41.80043616751639,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p5_wprev0p15_wsst0p3_wmamba0p05_raw.csv
wcur0p525_wprev0p125_wsst0p3_wmamba0p05_raw,0.525,0.125,0.3,0.05,,0.0,0.0,1.0,hard,33.949124023533834,0.997984225054582,0.9773297131061554,0.045689116351907914,41.80031056736982,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p525_wprev0p125_wsst0p3_wmamba0p05_raw.csv
wcur0p5_wprev0p175_wsst0p275_wmamba0p05_raw,0.5,0.175,0.275,0.05,,0.0,0.0,1.0,hard,33.94868758799284,0.9979862814148267,0.9773169502615928,0.04571820493535294,41.79980276713429,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p5_wprev0p175_wsst0p275_wmamba0p05_raw.csv
wcur0p45_wprev0p175_wsst0p3_wmamba0p075_raw,0.45,0.175,0.3,0.075,,0.0,0.0,1.0,hard,33.94788804340496,0.9979856342077256,0.9773218596975008,0.04582304577343166,41.79879947649945,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p45_wprev0p175_wsst0p3_wmamba0p075_raw.csv
wcur0p475_wprev0p15_wsst0p3_wmamba0p075_raw,0.475,0.15,0.3,0.075,,0.0,0.0,1.0,hard,33.94781330570934,0.9979848325252533,0.9773221264282862,0.04582210270309588,41.798722348311244,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p475_wprev0p15_wsst0p3_wmamba0p075_raw.csv
wcur0p5_wprev0p125_wsst0p3_wmamba0p075_raw,0.5,0.125,0.3,0.075,,0.0,0.0,1.0,hard,33.94771179751175,0.9979837357997894,0.9773223519325256,0.045821111291782776,41.79861669359197,experiments/hat_hat_sst_mambairv2l_dflip_full120_20260512/wcur0p5_wprev0p125_wsst0p3_wmamba0p075_raw.csv
