route,weight_cur,weight_prev,weight_ssttta,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p275_wprev0p25_wssttta0p475_raw,0.275,0.25,0.475,,0.0,0.0,1.0,hard,33.98964767083072,0.9980085959037145,0.9775539850195248,0.04576773759908974,41.841271741093884,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p275_wprev0p25_wssttta0p475_raw.csv
wcur0p3_wprev0p225_wssttta0p475_raw,0.3,0.225,0.475,,0.0,0.0,1.0,hard,33.98964383655641,0.9980085670948029,0.9775543242692948,0.04576750509925963,41.841268877465296,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_raw.csv
wcur0p25_wprev0p275_wssttta0p475_raw,0.25,0.275,0.475,,0.0,0.0,1.0,hard,33.98962405449143,0.9980085318287214,0.9775536025563876,0.045767468913012026,41.841247512750506,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p275_wssttta0p475_raw.csv
wcur0p325_wprev0p2_wssttta0p475_raw,0.325,0.2,0.475,,0.0,0.0,1.0,hard,33.989612662221205,0.9980085427562396,0.9775546063979467,0.045766909613545674,41.84123931232745,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_raw.csv
wcur0p275_wprev0p225_wssttta0p5_raw,0.275,0.225,0.5,,0.0,0.0,1.0,hard,33.98938937241758,0.9980087469021479,0.9775598059097926,0.045773393348402656,41.84101467895324,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_raw.csv
wcur0p25_wprev0p25_wssttta0p5_raw,0.25,0.25,0.5,,0.0,0.0,1.0,hard,33.989385696937966,0.9980087488889694,0.9775594746073087,0.04577314834265659,41.84101084280108,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p25_wprev0p25_wssttta0p5_raw.csv
wcur0p3_wprev0p2_wssttta0p5_raw,0.3,0.2,0.5,,0.0,0.0,1.0,hard,33.98936558450978,0.9980086699128151,0.9775601203242937,0.04577337935431084,41.84099108592663,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p3_wprev0p2_wssttta0p5_raw.csv
wcur0p3_wprev0p25_wssttta0p45_raw,0.3,0.25,0.45,,0.0,0.0,1.0,hard,33.98923302756322,0.9980081935723623,0.9775453339020411,0.04576019327311466,41.84085247025525,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p3_wprev0p25_wssttta0p45_raw.csv
wcur0p325_wprev0p225_wssttta0p45_raw,0.325,0.225,0.45,,0.0,0.0,1.0,hard,33.98922179925965,0.9980081881086031,0.9775456701715787,0.045759727749585484,41.840842812755255,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p325_wprev0p225_wssttta0p45_raw.csv
wcur0p275_wprev0p275_wssttta0p45_raw,0.275,0.275,0.45,,0.0,0.0,1.0,hard,33.989216959637375,0.9980081821481387,0.9775449439883233,0.045760195388963136,41.84083554972493,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p275_wprev0p275_wssttta0p45_raw.csv
wcur0p35_wprev0p2_wssttta0p45_raw,0.35,0.2,0.45,,0.0,0.0,1.0,hard,33.9891831351909,0.9980081230401993,0.9775459592541059,0.045758990047033876,41.84080581184624,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p35_wprev0p2_wssttta0p45_raw.csv
