route,weight_cur,weight_prev,weight_sst,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p38_wprev0p14_wsst0p48_wmamba0_raw,0.38,0.14,0.48,0.0,,0.0,0.0,1.0,hard,33.98943436286346,0.998008269071579,0.977556478480498,0.04576607043951905,41.84106479337489,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p38_wprev0p14_wsst0p48_wmamba0_raw.csv
wcur0p37_wprev0p14_wsst0p48_wmamba0p01_raw,0.37,0.14,0.48,0.01,,0.0,0.0,1.0,hard,33.98848612722462,0.9980083550016086,0.9775513783097267,0.04581938645763633,41.84000024093845,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p37_wprev0p14_wsst0p48_wmamba0p01_raw.csv
wcur0p36_wprev0p14_wsst0p48_wmamba0p02_raw,0.36,0.14,0.48,0.02,,0.0,0.0,1.0,hard,33.987417528468995,0.9980084240436554,0.9775457546114922,0.04587238359478458,41.83881481476434,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p36_wprev0p14_wsst0p48_wmamba0p02_raw.csv
wcur0p37_wprev0p13_wsst0p48_wmamba0p02_raw,0.37,0.13,0.48,0.02,,0.0,0.0,1.0,hard,33.9873787280007,0.9980082958936691,0.9775458157062531,0.04587191464961506,41.83877630547599,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p37_wprev0p13_wsst0p48_wmamba0p02_raw.csv
wcur0p36_wprev0p13_wsst0p49_wmamba0p02_raw,0.36,0.13,0.49,0.02,,0.0,0.0,1.0,hard,33.98718389618435,0.9980083619554837,0.9775475526849429,0.045874825622498366,41.83857952204214,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p36_wprev0p13_wsst0p49_wmamba0p02_raw.csv
wcur0p35_wprev0p13_wsst0p5_wmamba0p02_raw,0.35,0.13,0.5,0.02,,0.0,0.0,1.0,hard,33.98688069350883,0.9980084215601285,0.977548785507679,0.04587672912651518,41.83827533563193,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p35_wprev0p13_wsst0p5_wmamba0p02_raw.csv
wcur0p36_wprev0p12_wsst0p5_wmamba0p02_raw,0.36,0.12,0.5,0.02,,0.0,0.0,1.0,hard,33.986839835639195,0.9980082273483276,0.9775488391518593,0.04587669311343537,41.83823349180601,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p36_wprev0p12_wsst0p5_wmamba0p02_raw.csv
wcur0p35_wprev0p14_wsst0p48_wmamba0p03_raw,0.35,0.14,0.48,0.03,,0.0,0.0,1.0,hard,33.98622854036841,0.998008380830288,0.9775396058956782,0.04592542756484666,41.837507182011805,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p35_wprev0p14_wsst0p48_wmamba0p03_raw.csv
wcur0p34_wprev0p14_wsst0p49_wmamba0p03_raw,0.34,0.14,0.49,0.03,,0.0,0.0,1.0,hard,33.98596685564624,0.998008464773496,0.9775410463412603,0.04592819986767912,41.83724333723438,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p34_wprev0p14_wsst0p49_wmamba0p03_raw.csv
wcur0p34_wprev0p13_wsst0p5_wmamba0p03_raw,0.34,0.13,0.5,0.03,,0.0,0.0,1.0,hard,33.98556388836874,0.9980083470543225,0.9775420606136322,0.045930135789482546,41.83683782034297,experiments/hat_hat_ssttta_mambairv2l_dflip_full120_20260512/wcur0p34_wprev0p13_wsst0p5_wmamba0p03_raw.csv
