route,weight_cur,weight_prev,weight_ssttta,weight_sstraw,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p3_wprev0p225_wssttta0p475_wsstraw0_raw,0.3,0.225,0.475,0.0,,0.0,0.0,1.0,hard,33.98964383655641,0.9980085670948029,0.9775543242692948,0.04576750509925963,41.841268877465296,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_wsstraw0_raw.csv
wcur0p325_wprev0p2_wssttta0p475_wsstraw0_raw,0.325,0.2,0.475,0.0,,0.0,0.0,1.0,hard,33.989612662221205,0.9980085427562396,0.9775546063979467,0.045766909613545674,41.84123931232745,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_wsstraw0_raw.csv
wcur0p35_wprev0p175_wssttta0p475_wsstraw0_raw,0.35,0.175,0.475,0.0,,0.0,0.0,1.0,hard,33.98955404045845,0.9980084344744682,0.9775548646847407,0.04576604087972858,41.84118229491528,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p175_wssttta0p475_wsstraw0_raw.csv
wcur0p375_wprev0p15_wssttta0p475_wsstraw0_raw,0.375,0.15,0.475,0.0,,0.0,0.0,1.0,hard,33.98946807470737,0.9980082174142202,0.9775550598899524,0.04576518683267447,41.84109712530724,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p15_wssttta0p475_wsstraw0_raw.csv
wcur0p3_wprev0p225_wssttta0p45_wsstraw0p025_raw,0.3,0.225,0.45,0.025,,0.0,0.0,1.0,hard,33.989403044063735,0.9980084081490834,0.9775530527035395,0.0457654444258272,41.84102870951365,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p225_wssttta0p45_wsstraw0p025_raw.csv
wcur0p275_wprev0p225_wssttta0p5_wsstraw0_raw,0.275,0.225,0.5,0.0,,0.0,0.0,1.0,hard,33.98938937241758,0.9980087469021479,0.9775598059097926,0.045773393348402656,41.84101467895324,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_wsstraw0_raw.csv
wcur0p325_wprev0p2_wssttta0p45_wsstraw0p025_raw,0.325,0.2,0.45,0.025,,0.0,0.0,1.0,hard,33.989371507035976,0.9980083753665289,0.9775533442695935,0.04576508677758587,41.84099827421917,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p2_wssttta0p45_wsstraw0p025_raw.csv
wcur0p3_wprev0p2_wssttta0p5_wsstraw0_raw,0.3,0.2,0.5,0.0,,0.0,0.0,1.0,hard,33.98936558450978,0.9980086699128151,0.9775601203242937,0.04577337935431084,41.84099108592663,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p2_wssttta0p5_wsstraw0_raw.csv
wcur0p325_wprev0p175_wssttta0p5_wsstraw0_raw,0.325,0.175,0.5,0.0,,0.0,0.0,1.0,hard,33.989314427113726,0.9980086301763852,0.9775603448351224,0.045772259279813925,41.84094237928265,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p175_wssttta0p5_wsstraw0_raw.csv
wcur0p35_wprev0p175_wssttta0p45_wsstraw0p025_raw,0.35,0.175,0.45,0.025,,0.0,0.0,1.0,hard,33.98931257557607,0.9980082333087921,0.9775535975893338,0.045764221840848524,41.840940726925794,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p175_wssttta0p45_wsstraw0p025_raw.csv
wcur0p35_wprev0p15_wssttta0p5_wsstraw0_raw,0.35,0.15,0.5,0.0,,0.0,0.0,1.0,hard,33.989235851315726,0.998008431494236,0.9775605484843254,0.045771418987715154,41.84086469927436,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p15_wssttta0p5_wsstraw0_raw.csv
wcur0p375_wprev0p15_wssttta0p45_wsstraw0p025_raw,0.375,0.15,0.45,0.025,,0.0,0.0,1.0,hard,33.98922620676958,0.9980080644289653,0.977553790807724,0.04576339041717195,41.84085539412448,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p15_wssttta0p45_wsstraw0p025_raw.csv
wcur0p325_wprev0p225_wssttta0p45_wsstraw0_raw,0.325,0.225,0.45,0.0,,0.0,0.0,1.0,hard,33.98922179925965,0.9980081881086031,0.9775456701715787,0.045759727749585484,41.840842812755255,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p225_wssttta0p45_wsstraw0_raw.csv
wcur0p35_wprev0p2_wssttta0p45_wsstraw0_raw,0.35,0.2,0.45,0.0,,0.0,0.0,1.0,hard,33.9891831351909,0.9980081230401993,0.9775459592541059,0.045758990047033876,41.84080581184624,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p2_wssttta0p45_wsstraw0_raw.csv
wcur0p275_wprev0p225_wssttta0p475_wsstraw0p025_raw,0.275,0.225,0.475,0.025,,0.0,0.0,1.0,hard,33.989143781819685,0.9980086013674736,0.9775585606694221,0.04577202078362461,41.840768469796124,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p225_wssttta0p475_wsstraw0p025_raw.csv
wcur0p3_wprev0p2_wssttta0p475_wsstraw0p025_raw,0.3,0.2,0.475,0.025,,0.0,0.0,1.0,hard,33.98911963637207,0.9980085030198097,0.9775588348507881,0.045771466705870505,41.84074539078077,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p2_wssttta0p475_wsstraw0p025_raw.csv
wcur0p375_wprev0p175_wssttta0p45_wsstraw0_raw,0.375,0.175,0.45,0.0,,0.0,0.0,1.0,hard,33.9891171524146,0.9980079968770345,0.9775462061166763,0.04575814111061239,41.84074126368893,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p175_wssttta0p45_wsstraw0_raw.csv
wcur0p325_wprev0p175_wssttta0p475_wsstraw0p025_raw,0.325,0.175,0.475,0.025,,0.0,0.0,1.0,hard,33.989068093127464,0.9980084588130315,0.9775590832034747,0.04577071007806808,41.840695592256466,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p175_wssttta0p475_wsstraw0p025_raw.csv
wcur0p35_wprev0p15_wssttta0p475_wsstraw0p025_raw,0.35,0.15,0.475,0.025,,0.0,0.0,1.0,hard,33.98898913452082,0.9980082973837853,0.9775592779119809,0.045770023702061735,41.84061742724337,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p15_wssttta0p475_wsstraw0p025_raw.csv
