route,weight_cur,weight_prev,weight_ssttta,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p3_wprev0p225_wssttta0p475_linear_b005,0.3,0.225,0.475,linear,0.005,0.0,1.0,hard,33.990290992831746,0.9980097581942876,0.9775512804587682,0.04596328451686228,41.84152553388129,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_linear_b005.csv
wcur0p3_wprev0p225_wssttta0p475_linear_b0025,0.3,0.225,0.475,linear,0.0025,0.0,1.0,hard,33.99008370557366,0.9980092490712802,0.9775530243913333,0.04586511148954742,41.84151502580492,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_linear_b0025.csv
wcur0p325_wprev0p2_wssttta0p475_linear_b005,0.325,0.2,0.475,linear,0.005,0.0,1.0,hard,33.990259395493595,0.998009692132473,0.9775515536467234,0.045963336801408634,41.841493981979056,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_linear_b005.csv
wcur0p325_wprev0p2_wssttta0p475_linear_b0025,0.325,0.2,0.475,linear,0.0025,0.0,1.0,hard,33.99005231494664,0.9980091591676076,0.9775533283750216,0.04586431974118265,41.84148528721996,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_linear_b0025.csv
wcur0p3_wprev0p225_wssttta0p475_cubic_b0025,0.3,0.225,0.475,cubic,0.0025,0.0,1.0,hard,33.98989755962449,0.9980091944336891,0.9775535399715106,0.045877282328243986,41.84130524151315,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_cubic_b0025.csv
wcur0p3_wprev0p225_wssttta0p475_linear_b0075,0.3,0.225,0.475,linear,0.0075,0.0,1.0,hard,33.99026245046792,0.9980100239316623,0.9775490219394366,0.04606350536826843,41.84129362720022,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_linear_b0075.csv
wcur0p325_wprev0p2_wssttta0p475_cubic_b0025,0.325,0.2,0.475,cubic,0.0025,0.0,1.0,hard,33.98986586501846,0.9980091258883477,0.9775538235902786,0.04587669071139923,41.8412748861063,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_cubic_b0025.csv
wcur0p3_wprev0p225_wssttta0p475_raw,0.3,0.225,0.475,,0.0,0.0,1.0,hard,33.98964383655641,0.9980085670948029,0.9775543242692948,0.04576750509925963,41.841268877465296,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_raw.csv
wcur0p325_wprev0p2_wssttta0p475_linear_b0075,0.325,0.2,0.475,linear,0.0075,0.0,1.0,hard,33.99023072373869,0.9980099012454351,0.9775493249297142,0.046063144664124894,41.841262491742484,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_linear_b0075.csv
wcur0p275_wprev0p225_wssttta0p5_linear_b0025,0.275,0.225,0.5,linear,0.0025,0.0,1.0,hard,33.9898143538612,0.99800952176253,0.9775584782163302,0.04587169487446469,41.84124505112011,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_linear_b0025.csv
wcur0p325_wprev0p2_wssttta0p475_raw,0.325,0.2,0.475,,0.0,0.0,1.0,hard,33.989612662221205,0.9980085427562396,0.9775546063979467,0.045766909613545674,41.84123931232745,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_raw.csv
wcur0p275_wprev0p225_wssttta0p5_linear_b005,0.275,0.225,0.5,linear,0.005,0.0,1.0,hard,33.99000604653681,0.9980099002520243,0.9775566801428794,0.04597018226146853,41.84123844381178,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_linear_b005.csv
wcur0p3_wprev0p225_wssttta0p475_cubic_b005,0.3,0.225,0.475,cubic,0.005,0.0,1.0,hard,33.98999531836082,0.998009682695071,0.9775523016850154,0.0459883745405629,41.84118126882015,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_cubic_b005.csv
wcur0p325_wprev0p2_wssttta0p475_cubic_b005,0.325,0.2,0.475,cubic,0.005,0.0,1.0,hard,33.98996311480662,0.9980096017320951,0.9775525877873102,0.04598795430986987,41.84114999215408,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_cubic_b005.csv
wcur0p275_wprev0p225_wssttta0p5_cubic_b0025,0.275,0.225,0.5,cubic,0.0025,0.0,1.0,hard,33.98962768961437,0.998009380698204,0.9775589659810067,0.04588380232501853,41.84103430111557,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_cubic_b0025.csv
wcur0p275_wprev0p225_wssttta0p5_raw,0.275,0.225,0.5,,0.0,0.0,1.0,hard,33.98938937241758,0.9980087469021479,0.9775598059097926,0.045773393348402656,41.84101467895324,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_raw.csv
wcur0p275_wprev0p225_wssttta0p5_linear_b0075,0.275,0.225,0.5,linear,0.0075,0.0,1.0,hard,33.989961799673715,0.998010138173898,0.977554373939832,0.04607088772027055,41.84098960115623,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_linear_b0075.csv
wcur0p3_wprev0p225_wssttta0p475_cubic_b0075,0.3,0.225,0.475,cubic,0.0075,0.0,1.0,hard,33.98993503586987,0.9980100929737091,0.9775506089131037,0.04610012387080739,41.84089656379671,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_cubic_b0075.csv
wcur0p275_wprev0p225_wssttta0p5_cubic_b005,0.275,0.225,0.5,cubic,0.005,0.0,1.0,hard,33.98970956784006,0.9980098525683085,0.9775576785206794,0.04599501771250895,41.84089400486625,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_cubic_b005.csv
wcur0p325_wprev0p2_wssttta0p475_cubic_b0075,0.325,0.2,0.475,cubic,0.0075,0.0,1.0,hard,33.98990241831816,0.9980100060502688,0.9775508895516396,0.046099864034719454,41.84086450565361,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_cubic_b0075.csv
wcur0p3_wprev0p225_wssttta0p475_linear_b01,0.3,0.225,0.475,linear,0.01,0.0,1.0,hard,33.98999587498498,0.9980100254217784,0.9775462513168652,0.046164228568280424,41.84082007301282,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_linear_b01.csv
wcur0p325_wprev0p2_wssttta0p475_linear_b01,0.325,0.2,0.475,linear,0.01,0.0,1.0,hard,33.98996396547458,0.9980099136630695,0.9775465488433838,0.046163882765783155,41.840788779608204,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_linear_b01.csv
wcur0p275_wprev0p225_wssttta0p5_cubic_b0075,0.275,0.225,0.5,cubic,0.0075,0.0,1.0,hard,33.98963327071731,0.998010245958964,0.9775559027989705,0.04610738502184783,41.84059178202534,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_cubic_b0075.csv
wcur0p275_wprev0p225_wssttta0p5_linear_b01,0.275,0.225,0.5,linear,0.01,0.0,1.0,hard,33.989678958792226,0.9980101798971494,0.9775515596071879,0.046171609599453704,41.84049993819059,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_linear_b01.csv
wcur0p3_wprev0p225_wssttta0p475_cubic_b01,0.3,0.225,0.475,cubic,0.01,0.0,1.0,hard,33.98971534700436,0.9980104103684425,0.9775484244028727,0.046213503116935804,41.840447651786896,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p3_wprev0p225_wssttta0p475_cubic_b01.csv
wcur0p325_wprev0p2_wssttta0p475_cubic_b01,0.325,0.2,0.475,cubic,0.01,0.0,1.0,hard,33.989682219387454,0.998010304570198,0.9775486970941226,0.04621289479643262,41.840415651404015,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p325_wprev0p2_wssttta0p475_cubic_b01.csv
wcur0p275_wprev0p225_wssttta0p5_cubic_b01,0.275,0.225,0.5,cubic,0.01,0.0,1.0,hard,33.98939728214628,0.9980105583866438,0.9775536522269249,0.04622074767103186,41.84012644157792,experiments/hat_hat_ssttta_top_post_full120_20260512/wcur0p275_wprev0p225_wssttta0p5_cubic_b01.csv
