route,weight_cur,weight_prev,weight_xl,weight_lp,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p4_wprev0p25_wxl0p35_wlp0_raw,0.4,0.25,0.35,0.0,,0.0,0.0,1.0,hard,37.62412617531895,0.9987084120512009,0.9884374290704727,0.026502816006541252,45.54024587375402,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p25_wxl0p35_wlp0_raw.csv
wcur0p4_wprev0p25_wxl0p325_wlp0p025_raw,0.4,0.25,0.325,0.025,,0.0,0.0,1.0,hard,37.62215831829501,0.9987084418535233,0.9884274303913116,0.026520973537117243,45.538221883124535,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p25_wxl0p325_wlp0p025_raw.csv
wcur0p4_wprev0p25_wxl0p3_wlp0p05_raw,0.4,0.25,0.3,0.05,,0.0,0.0,1.0,hard,37.6199472605033,0.9987085908651352,0.988416999578476,0.026534189702942967,45.53596442544518,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p25_wxl0p3_wlp0p05_raw.csv
wcur0p35_wprev0p25_wxl0p4_wlp0_raw,0.35,0.25,0.4,0.0,,0.0,0.0,1.0,hard,37.61415352690223,0.9987073093652725,0.9884210824966431,0.026577824028208852,45.53008390003073,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p25_wxl0p4_wlp0_raw.csv
wcur0p4_wprev0p2_wxl0p4_wlp0_raw,0.4,0.2,0.4,0.0,,0.0,0.0,1.0,hard,37.61308373942883,0.9987071007490158,0.9884203523397446,0.02658258518204093,45.52900187823833,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p2_wxl0p4_wlp0_raw.csv
wcur0p35_wprev0p25_wxl0p375_wlp0p025_raw,0.35,0.25,0.375,0.025,,0.0,0.0,1.0,hard,37.612398708185964,0.9987074285745621,0.9884115010499954,0.026597449090331793,45.528271383552664,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p25_wxl0p375_wlp0p025_raw.csv
wcur0p4_wprev0p2_wxl0p375_wlp0p025_raw,0.4,0.2,0.375,0.025,,0.0,0.0,1.0,hard,37.611325734715386,0.9987071007490158,0.9884108603000641,0.026602481491863728,45.52718509682588,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p2_wxl0p375_wlp0p025_raw.csv
wcur0p35_wprev0p25_wxl0p35_wlp0p05_raw,0.35,0.25,0.35,0.05,,0.0,0.0,1.0,hard,37.610401577828036,0.9987075477838516,0.9884015023708344,0.02661104965955019,45.526227769953714,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p25_wxl0p35_wlp0p05_raw.csv
wcur0p4_wprev0p2_wxl0p35_wlp0p05_raw,0.4,0.2,0.35,0.05,,0.0,0.0,1.0,hard,37.60932549008034,0.9987072199583054,0.9884007275104523,0.026617446448653936,45.525135371953766,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p2_wxl0p35_wlp0p05_raw.csv
wcur0p35_wprev0p25_wxl0p325_wlp0p075_raw,0.35,0.25,0.325,0.075,,0.0,0.0,1.0,hard,37.60816222870548,0.9987077564001083,0.9883908778429031,0.026625823229551315,45.523938876332835,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p25_wxl0p325_wlp0p075_raw.csv
wcur0p4_wprev0p2_wxl0p325_wlp0p075_raw,0.4,0.2,0.325,0.075,,0.0,0.0,1.0,hard,37.607083081175524,0.9987077116966248,0.9883901327848434,0.0266304484102875,45.522848720104385,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p2_wxl0p325_wlp0p075_raw.csv
wcur0p35_wprev0p25_wxl0p3_wlp0p1_raw,0.35,0.25,0.3,0.1,,0.0,0.0,1.0,hard,37.60568054602961,0.9987079203128815,0.9883796870708466,0.026640734169632196,45.52140597370933,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p25_wxl0p3_wlp0p1_raw.csv
wcur0p3_wprev0p25_wxl0p45_wlp0_raw,0.3,0.25,0.45,0.0,,0.0,0.0,1.0,hard,37.60041549832493,0.9987055957317352,0.9883942157030106,0.026649888139218092,45.516137727842924,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p25_wxl0p45_wlp0_raw.csv
wcur0p35_wprev0p2_wxl0p45_wlp0_raw,0.35,0.2,0.45,0.0,,0.0,0.0,1.0,hard,37.599440897109226,0.998705193400383,0.9883933812379837,0.02665913011878729,45.515140559749916,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p45_wlp0_raw.csv
wcur0p3_wprev0p25_wxl0p425_wlp0p025_raw,0.3,0.25,0.425,0.025,,0.0,0.0,1.0,hard,37.5988759320352,0.9987055957317352,0.9883850365877151,0.026670692954212427,45.514538193692616,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p25_wxl0p425_wlp0p025_raw.csv
wcur0p4_wprev0p15_wxl0p45_wlp0_raw,0.4,0.15,0.45,0.0,,0.0,0.0,1.0,hard,37.598235887093125,0.9987047612667084,0.9883923977613449,0.02666290057823062,45.513923449059604,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p15_wxl0p45_wlp0_raw.csv
wcur0p35_wprev0p2_wxl0p425_wlp0p025_raw,0.35,0.2,0.425,0.025,,0.0,0.0,1.0,hard,37.59789813372379,0.9987053871154785,0.9883842915296555,0.026677739806473255,45.513543559863024,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p425_wlp0p025_raw.csv
wcur0p3_wprev0p25_wxl0p4_wlp0p05_raw,0.3,0.25,0.4,0.05,,0.0,0.0,1.0,hard,37.597094371533885,0.9987064152956009,0.9883753657341003,0.02668888960033655,45.51270581557502,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p25_wxl0p4_wlp0p05_raw.csv
wcur0p4_wprev0p15_wxl0p425_wlp0p025_raw,0.4,0.15,0.425,0.025,,0.0,0.0,1.0,hard,37.59668974887652,0.9987046867609024,0.9883833080530167,0.026681903284043074,45.51232067897988,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p15_wxl0p425_wlp0p025_raw.csv
wcur0p35_wprev0p2_wxl0p4_wlp0p05_raw,0.35,0.2,0.4,0.05,,0.0,0.0,1.0,hard,37.59611338526011,0.9987052530050278,0.9883745312690735,0.026696342742070556,45.51170128034428,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p4_wlp0p05_raw.csv
wcur0p3_wprev0p25_wxl0p375_wlp0p075_raw,0.3,0.25,0.375,0.075,,0.0,0.0,1.0,hard,37.59507091083361,0.9987061470746994,0.9883650839328766,0.02670401707291603,45.51062992700173,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p25_wxl0p375_wlp0p075_raw.csv
wcur0p4_wprev0p15_wxl0p4_wlp0p05_raw,0.4,0.15,0.4,0.05,,0.0,0.0,1.0,hard,37.59490163727964,0.9987050443887711,0.9883736222982407,0.026702480856329203,45.51047418649609,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p15_wxl0p4_wlp0p05_raw.csv
wcur0p35_wprev0p2_wxl0p375_wlp0p075_raw,0.35,0.2,0.375,0.075,,0.0,0.0,1.0,hard,37.59408655283625,0.9987054318189621,0.9883642196655273,0.02671297872439027,45.5096216256323,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p375_wlp0p075_raw.csv
wcur0p4_wprev0p15_wxl0p375_wlp0p075_raw,0.4,0.15,0.375,0.075,,0.0,0.0,1.0,hard,37.592871698628336,0.9987057447433472,0.9883633404970169,0.026718148728832603,45.50839655062479,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p15_wxl0p375_wlp0p075_raw.csv
wcur0p3_wprev0p25_wxl0p35_wlp0p1_raw,0.3,0.25,0.35,0.1,,0.0,0.0,1.0,hard,37.59280563910659,0.9987065643072128,0.9883543401956558,0.02672055782750249,45.50831258968617,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p25_wxl0p35_wlp0p1_raw.csv
wcur0p35_wprev0p2_wxl0p35_wlp0p1_raw,0.35,0.2,0.35,0.1,,0.0,0.0,1.0,hard,37.591818251629704,0.9987058341503143,0.9883534908294678,0.02672917302697897,45.50730189213657,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p35_wlp0p1_raw.csv
wcur0p4_wprev0p15_wxl0p35_wlp0p1_raw,0.4,0.15,0.35,0.1,,0.0,0.0,1.0,hard,37.59060028493703,0.9987056106328964,0.9883525371551514,0.02673123124986887,45.506076560544976,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p15_wxl0p35_wlp0p1_raw.csv
wcur0p35_wprev0p2_wxl0p3_wlp0p15_raw,0.35,0.2,0.3,0.15,,0.0,0.0,1.0,hard,37.58655761694258,0.99870565533638,0.988330215215683,0.02675102185457945,45.501949935683065,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p2_wxl0p3_wlp0p15_raw.csv
wcur0p25_wprev0p25_wxl0p5_wlp0_raw,0.25,0.25,0.5,0.0,,0.0,0.0,1.0,hard,37.582954258040104,0.9987024813890457,0.9883567541837692,0.026725562987849116,45.49843152876622,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p5_wlp0_raw.csv
wcur0p3_wprev0p2_wxl0p5_wlp0_raw,0.3,0.2,0.5,0.0,,0.0,0.0,1.0,hard,37.58207579908375,0.9987021833658218,0.9883559197187424,0.026731908321380615,45.49753692207341,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p2_wxl0p5_wlp0_raw.csv
wcur0p25_wprev0p25_wxl0p475_wlp0p025_raw,0.25,0.25,0.475,0.025,,0.0,0.0,1.0,hard,37.58163043690222,0.9987029880285263,0.9883479923009872,0.026745756156742573,45.49705283736187,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p475_wlp0p025_raw.csv
wcur0p35_wprev0p15_wxl0p5_wlp0_raw,0.35,0.15,0.5,0.0,,0.0,0.0,1.0,hard,37.58096712679255,0.9987019002437592,0.9883549064397812,0.026737197767943144,45.49641394559878,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p5_wlp0_raw.csv
wcur0p3_wprev0p2_wxl0p475_wlp0p025_raw,0.3,0.2,0.475,0.025,,0.0,0.0,1.0,hard,37.580748695357315,0.9987027943134308,0.9883471578359604,0.026752543170005083,45.49615469056981,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p2_wxl0p475_wlp0p025_raw.csv
wcur0p25_wprev0p25_wxl0p45_wlp0p05_raw,0.25,0.25,0.45,0.05,,0.0,0.0,1.0,hard,37.580065489590666,0.9987035691738129,0.9883387237787247,0.026763645466417074,45.49543706125816,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p45_wlp0p05_raw.csv
wcur0p4_wprev0p1_wxl0p5_wlp0_raw,0.4,0.1,0.5,0.0,,0.0,0.0,1.0,hard,37.57962902757148,0.9987010210752487,0.9883537292480469,0.02674495126120746,45.49505270999665,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p5_wlp0_raw.csv
wcur0p35_wprev0p15_wxl0p475_wlp0p025_raw,0.35,0.15,0.475,0.025,,0.0,0.0,1.0,hard,37.57963678914106,0.9987022280693054,0.9883461594581604,0.026758107589557767,45.4950262612941,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p475_wlp0p025_raw.csv
