route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p525_wprev0p175_wsst0p3_raw,0.525,0.175,0.3,,0.0,0.0,1.0,hard,33.95002816680526,0.9979847406347593,0.9773343910773595,0.045427940612717065,41.8017495115431,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p525_wprev0p175_wsst0p3_raw.csv
wcur0p55_wprev0p15_wsst0p3_raw,0.55,0.15,0.3,,0.0,0.0,1.0,hard,33.94988895831351,0.9979841793576877,0.9773346011837324,0.04542667983478168,41.80160987715753,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p55_wprev0p15_wsst0p3_raw.csv
wcur0p55_wprev0p1_wsst0p35_raw,0.55,0.1,0.35,,0.0,0.0,1.0,hard,33.94967145747757,0.9979810590545336,0.9773539190491041,0.045361652841772106,41.801542344219435,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p55_wprev0p1_wsst0p35_raw.csv
wcur0p575_wprev0p125_wsst0p3_raw,0.575,0.125,0.3,,0.0,0.0,1.0,hard,33.94972312365677,0.9979834745327631,0.9773347655932109,0.04542516759247519,41.80144316685481,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p575_wprev0p125_wsst0p3_raw.csv
wcur0p575_wprev0p075_wsst0p35_raw,0.575,0.075,0.35,,0.0,0.0,1.0,hard,33.949466441938924,0.9979800631602606,0.9773539741834004,0.04536003564232184,41.80133469798265,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p575_wprev0p075_wsst0p35_raw.csv
wcur0p6_wprev0p1_wsst0p3_raw,0.6,0.1,0.3,,0.0,0.0,1.0,hard,33.9495305242088,0.9979825193683306,0.977334858973821,0.04542372015857836,41.80124791804927,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p6_wprev0p1_wsst0p3_raw.csv
wcur0p6_wprev0p05_wsst0p35_raw,0.6,0.05,0.35,,0.0,0.0,1.0,hard,33.949234572564,0.9979787826538086,0.9773539741834004,0.045358956498481956,41.80109730385669,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p6_wprev0p05_wsst0p35_raw.csv
wcur0p625_wprev0p075_wsst0p3_raw,0.625,0.075,0.3,,0.0,0.0,1.0,hard,33.94931113511806,0.9979813252886136,0.9773349414269129,0.04542249516525772,41.80102397937305,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p625_wprev0p075_wsst0p3_raw.csv
wcur0p675_wprev0_wsst0p325_raw,0.675,0.0,0.325,,0.0,0.0,1.0,hard,33.94907914727729,0.9979763666788737,0.9773465380072593,0.04538858516364901,41.80085325303775,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p675_wprev0_wsst0p325_raw.csv
wcur0p625_wprev0p025_wsst0p35_raw,0.625,0.025,0.35,,0.0,0.0,1.0,hard,33.94897611767139,0.9979773094256719,0.9773539597789447,0.04535754037448593,41.80083281303434,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p625_wprev0p025_wsst0p35_raw.csv
wcur0p65_wprev0_wsst0p35_raw,0.65,0.0,0.35,,0.0,0.0,1.0,hard,33.948691158114656,0.997975621620814,0.9773538753390312,0.045355784824641886,41.80054106886831,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p65_wprev0_wsst0p35_raw.csv
wcur0p5_wprev0p25_wsst0p25_raw,0.5,0.25,0.25,,0.0,0.0,1.0,hard,33.946337450347606,0.9979858368635177,0.9772971212863922,0.04547776820254512,41.7978911776964,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p5_wprev0p25_wsst0p25_raw.csv
wcur0p55_wprev0p2_wsst0p25_raw,0.55,0.2,0.25,,0.0,0.0,1.0,hard,33.946164588741134,0.9979852159818013,0.9772977675000827,0.045475113202701326,41.79772119322671,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p55_wprev0p2_wsst0p25_raw.csv
wcur0p6_wprev0p15_wsst0p25_raw,0.6,0.15,0.25,,0.0,0.0,1.0,hard,33.94588482467066,0.9979840949177742,0.9772982423504194,0.045472215954214336,41.797441446969714,experiments/hat_hat_sstxlarge_dflip_full120_20260512/wcur0p6_wprev0p15_wsst0p25_raw.csv
