route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p525_wprev0p175_wsst0p3_lin005,0.525,0.175,0.3,linear,0.005,0.0,1.0,hard,33.951264396593864,0.9979860117038091,0.9773329824209214,0.04562143484411839,41.80260356197032,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_lin005.csv
wcur0p525_wprev0p175_wsst0p3_lin01,0.525,0.175,0.3,linear,0.01,0.0,1.0,hard,33.95159172822371,0.9979863623778026,0.9773296440641085,0.04581895571706506,41.80253127918462,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_lin01.csv
wcur0p55_wprev0p1_wsst0p35_lin005,0.55,0.1,0.35,linear,0.005,0.0,1.0,hard,33.950850999336474,0.9979824110865593,0.9773522853851319,0.045556589210173117,41.80233685820575,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_lin005.csv
wcur0p525_wprev0p175_wsst0p3_lin0025,0.525,0.175,0.3,linear,0.0025,0.0,1.0,hard,33.95075828196825,0.9979854583740234,0.977333931128184,0.04552420148102101,41.80229049150671,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_lin0025.csv
wcur0p525_wprev0p175_wsst0p3_cubic005,0.525,0.175,0.3,cubic,0.005,0.0,1.0,hard,33.9509817495704,0.9979860310753187,0.9773345430692036,0.045644764822888345,41.802277492514946,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_cubic005.csv
wcur0p55_wprev0p1_wsst0p35_lin01,0.55,0.1,0.35,linear,0.01,0.0,1.0,hard,33.95111946927777,0.997982856631279,0.9773487240076065,0.0457550136896316,41.80220402970139,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_lin01.csv
wcur0p525_wprev0p175_wsst0p3_cubic01,0.525,0.175,0.3,cubic,0.01,0.0,1.0,hard,33.95132447622234,0.9979868774612745,0.977332831422488,0.04586533619246135,41.80218073145004,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_cubic01.csv
wcur0p525_wprev0p175_wsst0p3_cubic0025,0.525,0.175,0.3,cubic,0.0025,0.0,1.0,hard,33.95058032996725,0.9979854206244151,0.977334676682949,0.04553542144858511,41.80209136418247,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_cubic0025.csv
wcur0p55_wprev0p1_wsst0p35_lin0025,0.55,0.1,0.35,linear,0.0025,0.0,1.0,hard,33.950373620095384,0.9979818354050318,0.9773533453543981,0.045458214326451224,41.80205489458147,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_lin0025.csv
wcur0p55_wprev0p1_wsst0p35_cubic005,0.55,0.1,0.35,cubic,0.005,0.0,1.0,hard,33.95056359139542,0.9979823460181554,0.9773537362615268,0.045580107478114466,41.80200492507118,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_cubic005.csv
wcur0p55_wprev0p1_wsst0p35_cubic0025,0.55,0.1,0.35,cubic,0.0025,0.0,1.0,hard,33.95019332698193,0.9979817574222882,0.9773540571331978,0.04547062917263247,41.801850727436786,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_cubic0025.csv
wcur0p55_wprev0p1_wsst0p35_cubic01,0.55,0.1,0.35,cubic,0.01,0.0,1.0,hard,33.95084320499316,0.9979833180705706,0.9773517047365506,0.045803147364252554,41.80184022816118,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_cubic01.csv
wcur0p525_wprev0p175_wsst0p3_raw,0.525,0.175,0.3,,0.0,0.0,1.0,hard,33.95002816680526,0.9979847406347593,0.9773343910773595,0.045427940612717065,41.8017495115431,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p525_wprev0p175_wsst0p3_raw.csv
wcur0p55_wprev0p1_wsst0p35_raw,0.55,0.1,0.35,,0.0,0.0,1.0,hard,33.94967145747757,0.9979810590545336,0.9773539190491041,0.045361652841772106,41.801542344219435,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p55_wprev0p1_wsst0p35_raw.csv
wcur0p65_wprev0_wsst0p35_lin005,0.65,0.0,0.35,linear,0.005,0.0,1.0,hard,33.94987821892593,0.9979769761363665,0.9773522530992825,0.04555019640683895,41.80134418912902,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_lin005.csv
wcur0p65_wprev0_wsst0p35_lin01,0.65,0.0,0.35,linear,0.01,0.0,1.0,hard,33.95015540883245,0.9979774966835976,0.9773486812909444,0.045749678253681245,41.80121839500856,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_lin01.csv
wcur0p65_wprev0_wsst0p35_lin0025,0.65,0.0,0.35,linear,0.0025,0.0,1.0,hard,33.949397029143746,0.9979763845602672,0.9773532981673877,0.0454525382083375,41.80105685642345,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_lin0025.csv
wcur0p65_wprev0_wsst0p35_cubic005,0.65,0.0,0.35,cubic,0.005,0.0,1.0,hard,33.94958866195427,0.9979769373933475,0.9773536875844002,0.04557448944882102,41.80100868258552,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_cubic005.csv
wcur0p65_wprev0_wsst0p35_cubic0025,0.65,0.0,0.35,cubic,0.0025,0.0,1.0,hard,33.94921572028087,0.9979763835668564,0.9773540059725444,0.04546444708345613,41.80085313946018,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_cubic0025.csv
wcur0p65_wprev0_wsst0p35_cubic01,0.65,0.0,0.35,cubic,0.01,0.0,1.0,hard,33.94987421920041,0.997977972527345,0.9773516491055488,0.045797443827905224,41.80085046491977,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_cubic01.csv
wcur0p65_wprev0_wsst0p35_raw,0.65,0.0,0.35,,0.0,0.0,1.0,hard,33.948691158114656,0.997975621620814,0.9773538753390312,0.045355784824641886,41.80054106886831,experiments/hat_hat_sstxlarge_dflip_full120_post_20260512/wcur0p65_wprev0_wsst0p35_raw.csv
