route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p3_wprev0p225_wsst0p475_raw,0.3,0.225,0.475,,0.0,0.0,1.0,hard,33.991166641485755,0.998008768260479,0.9775516241788864,0.046055972856993324,41.84221055369242,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p3_wprev0p225_wsst0p475_raw.csv
wcur0p25_wprev0p25_wsst0p5_raw,0.25,0.25,0.5,,0.0,0.0,1.0,hard,33.99111502552193,0.9980089132984479,0.9775572856267293,0.04607842333401398,41.84212622989805,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p25_wprev0p25_wsst0p5_raw.csv
wcur0p3_wprev0p2_wsst0p5_raw,0.3,0.2,0.5,,0.0,0.0,1.0,hard,33.99109159522922,0.9980089634656906,0.9775579075018564,0.0460771681915503,41.84210685464398,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p3_wprev0p2_wsst0p5_raw.csv
wcur0p38_wprev0p14_wsst0p48_raw,0.38,0.14,0.48,,0.0,0.0,1.0,hard,33.99099133946759,0.9980084190766016,0.9775538712739944,0.04605817200160042,41.842033252471985,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p38_wprev0p14_wsst0p48_raw.csv
wcur0p35_wprev0p15_wsst0p5_raw,0.35,0.15,0.5,,0.0,0.0,1.0,hard,33.99095832263168,0.9980087265372276,0.9775583490729332,0.046076369335060006,41.841974641330786,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p35_wprev0p15_wsst0p5_raw.csv
wcur0p3_wprev0p25_wsst0p45_raw,0.3,0.25,0.45,,0.0,0.0,1.0,hard,33.99056433238955,0.9980083545049031,0.9775421683986981,0.0460329802139313,41.84163283578851,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p3_wprev0p25_wsst0p45_raw.csv
wcur0p35_wprev0p2_wsst0p45_raw,0.35,0.2,0.45,,0.0,0.0,1.0,hard,33.99051140202434,0.9980082556605339,0.9775428066651026,0.046031444725425294,41.8415836598669,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p35_wprev0p2_wsst0p45_raw.csv
wcur0p4_wprev0p15_wsst0p45_raw,0.4,0.15,0.45,,0.0,0.0,1.0,hard,33.99034872781096,0.9980078915754954,0.9775432581702869,0.046030386204074604,41.841421821196356,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p4_wprev0p15_wsst0p45_raw.csv
wcur0p45_wprev0p1_wsst0p45_raw,0.45,0.1,0.45,,0.0,0.0,1.0,hard,33.99007639574544,0.9980068584283193,0.9775435402989388,0.04602798932610312,41.841148648261026,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p45_wprev0p1_wsst0p45_raw.csv
wcur0p25_wprev0p2_wsst0p55_raw,0.25,0.2,0.55,,0.0,0.0,1.0,hard,33.98900928094815,0.9980087866385777,0.9775606622298558,0.04611816953450519,41.83994698617032,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p25_wprev0p2_wsst0p55_raw.csv
wcur0p2_wprev0p25_wsst0p55_raw,0.2,0.25,0.55,,0.0,0.0,1.0,hard,33.98900326551165,0.9980086371302604,0.9775600448250771,0.046118539719221495,41.83993809850492,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p2_wprev0p25_wsst0p55_raw.csv
wcur0p3_wprev0p15_wsst0p55_raw,0.3,0.15,0.55,,0.0,0.0,1.0,hard,33.98890532355656,0.998008635143439,0.9775611107548078,0.046117393076322816,41.839844569774165,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p3_wprev0p15_wsst0p55_raw.csv
wcur0p35_wprev0p25_wsst0p4_raw,0.35,0.25,0.4,,0.0,0.0,1.0,hard,33.987362048979364,0.9980067133903503,0.9775147130091985,0.04598326354171149,41.838465228256446,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p35_wprev0p25_wsst0p4_raw.csv
wcur0p4_wprev0p2_wsst0p4_raw,0.4,0.2,0.4,,0.0,0.0,1.0,hard,33.98727956937634,0.9980065117279688,0.9775153567393621,0.04598186401999556,41.83838562518289,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120/wcur0p4_wprev0p2_wsst0p4_raw.csv
