route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p3_wprev0p225_wsst0p475_lin0025,0.3,0.225,0.475,linear,0.0025,0.0,1.0,hard,33.991534534854615,0.9980093677838643,0.9775501737991968,0.04615422071268161,41.84238264773083,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p225_wsst0p475_lin0025.csv
wcur0p3_wprev0p225_wsst0p475_lin005,0.3,0.225,0.475,linear,0.005,0.0,1.0,hard,33.99167037004356,0.9980097189545631,0.9775482719143231,0.046253268307676385,41.84231869098423,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p225_wsst0p475_lin005.csv
wcur0p25_wprev0p25_wsst0p5_lin0025,0.25,0.25,0.5,linear,0.0025,0.0,1.0,hard,33.99146409183281,0.9980094974239667,0.9775557940204939,0.04617705705119685,41.84227855031521,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p25_wprev0p25_wsst0p5_lin0025.csv
wcur0p3_wprev0p2_wsst0p5_lin0025,0.3,0.2,0.5,linear,0.0025,0.0,1.0,hard,33.991440055358666,0.9980095108350118,0.9775564124186834,0.04617586357538433,41.84225821805533,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p2_wsst0p5_lin0025.csv
wcur0p3_wprev0p225_wsst0p475_raw,0.3,0.225,0.475,,0.0,0.0,1.0,hard,33.991166641485755,0.998008768260479,0.9775516241788864,0.046055972856993324,41.84221055369242,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p225_wsst0p475_raw.csv
wcur0p3_wprev0p225_wsst0p475_cubic0025,0.3,0.225,0.475,cubic,0.0025,0.0,1.0,hard,33.991379663658066,0.9980093027154605,0.9775507107377053,0.04616567469978084,41.84220555202668,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p225_wsst0p475_cubic0025.csv
wcur0p25_wprev0p25_wsst0p5_lin005,0.25,0.25,0.5,linear,0.005,0.0,1.0,hard,33.99158050570156,0.998009842634201,0.9775538365046184,0.0462759595461345,41.842195315423744,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p25_wprev0p25_wsst0p5_lin005.csv
wcur0p3_wprev0p2_wsst0p5_lin005,0.3,0.2,0.5,linear,0.005,0.0,1.0,hard,33.991555864814046,0.9980099509159724,0.9775544494390488,0.04627529068966396,41.84217388780865,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p2_wsst0p5_lin005.csv
wcur0p25_wprev0p25_wsst0p5_raw,0.25,0.25,0.5,,0.0,0.0,1.0,hard,33.99111502552193,0.9980089132984479,0.9775572856267293,0.04607842333401398,41.84212622989805,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p25_wprev0p25_wsst0p5_raw.csv
wcur0p3_wprev0p2_wsst0p5_raw,0.3,0.2,0.5,,0.0,0.0,1.0,hard,33.99109159522922,0.9980089634656906,0.9775579075018564,0.0460771681915503,41.84210685464398,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p2_wsst0p5_raw.csv
wcur0p25_wprev0p25_wsst0p5_cubic0025,0.25,0.25,0.5,cubic,0.0025,0.0,1.0,hard,33.991310731936224,0.9980094835162163,0.9775563240051269,0.046188585255004,41.84210311053377,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p25_wprev0p25_wsst0p5_cubic0025.csv
wcur0p3_wprev0p2_wsst0p5_cubic0025,0.3,0.2,0.5,cubic,0.0025,0.0,1.0,hard,33.9912860544308,0.9980095113317172,0.977556932469209,0.046187807074359925,41.8420813732108,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p2_wsst0p5_cubic0025.csv
wcur0p3_wprev0p225_wsst0p475_cubic005,0.3,0.225,0.475,cubic,0.005,0.0,1.0,hard,33.99143713339119,0.9980097795526187,0.977549376587073,0.04627686312596779,41.84204083762911,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p225_wsst0p475_cubic005.csv
wcur0p25_wprev0p25_wsst0p5_cubic005,0.25,0.25,0.5,cubic,0.005,0.0,1.0,hard,33.991350317195234,0.9980099365115166,0.9775549074014028,0.04630016606630913,41.841919418934516,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p25_wprev0p25_wsst0p5_cubic005.csv
wcur0p3_wprev0p2_wsst0p5_cubic005,0.3,0.2,0.5,cubic,0.005,0.0,1.0,hard,33.9913245086805,0.9980099951227506,0.9775555267930031,0.04629930492810672,41.8418969231468,experiments/router_metrics_20260512/hat_hat_sstxlarge_dflip_full120clean_ft128_tta_full120_post/wcur0p3_wprev0p2_wsst0p5_cubic005.csv
