route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p45_wprev0p1_wsst0p45_raw,0.45,0.1,0.45,,0.0,0.0,1.0,hard,33.98875492535612,0.9980068479975065,0.977546696861585,0.04575525682497149,41.84037889341438,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p45_wprev0p1_wsst0p45_raw.csv
wcur0p475_wprev0p075_wsst0p45_raw,0.475,0.075,0.45,,0.0,0.0,1.0,hard,33.98857943588908,0.998006101946036,0.9775467400749525,0.04575399316575689,41.840201541383685,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p475_wprev0p075_wsst0p45_raw.csv
wcur0p5_wprev0p05_wsst0p45_raw,0.5,0.05,0.45,,0.0,0.0,1.0,hard,33.988376617775415,0.9980051815509796,0.977546771367391,0.04575319547875552,41.83999485885856,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p5_wprev0p05_wsst0p45_raw.csv
wcur0p525_wprev0p025_wsst0p45_raw,0.525,0.025,0.45,,0.0,0.0,1.0,hard,33.98814648705939,0.9980040187637012,0.9775467500090599,0.04575241705751978,41.83975926554468,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p525_wprev0p025_wsst0p45_raw.csv
wcur0p55_wprev0_wsst0p45_raw,0.55,0.0,0.45,,0.0,0.0,1.0,hard,33.98788896316235,0.998002644876639,0.9775466755032539,0.04575096117235565,41.83949626108398,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p55_wprev0_wsst0p45_raw.csv
wcur0p425_wprev0p175_wsst0p4_raw,0.425,0.175,0.4,,0.0,0.0,1.0,hard,33.98621965339014,0.9980063110589981,0.9775194689631462,0.045739877351540295,41.83781670296734,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p425_wprev0p175_wsst0p4_raw.csv
wcur0p45_wprev0p15_wsst0p4_raw,0.45,0.15,0.4,,0.0,0.0,1.0,hard,33.98611155982202,0.9980060751239459,0.9775196855266889,0.04573893822816899,41.83770950516274,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p45_wprev0p15_wsst0p4_raw.csv
wcur0p475_wprev0p125_wsst0p4_raw,0.475,0.125,0.4,,0.0,0.0,1.0,hard,33.985976115622606,0.9980056345462799,0.9775198395053546,0.045738095693135014,41.837573410524726,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p475_wprev0p125_wsst0p4_raw.csv
wcur0p5_wprev0p1_wsst0p4_raw,0.5,0.1,0.4,,0.0,0.0,1.0,hard,33.98581339055459,0.9980049327015876,0.9775199472904206,0.04573671976152885,41.8374094418219,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p5_wprev0p1_wsst0p4_raw.csv
wcur0p425_wprev0p225_wsst0p35_raw,0.425,0.225,0.35,,0.0,0.0,1.0,hard,33.980801824623065,0.9980042407910029,0.9774795865019162,0.04571874851632553,41.832348945340264,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p425_wprev0p225_wsst0p35_raw.csv
wcur0p45_wprev0p2_wsst0p35_raw,0.45,0.2,0.35,,0.0,0.0,1.0,hard,33.98073353188488,0.9980040540297827,0.9774798795580864,0.045717672182945535,41.832282270813856,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p45_wprev0p2_wsst0p35_raw.csv
wcur0p475_wprev0p175_wsst0p35_raw,0.475,0.175,0.35,,0.0,0.0,1.0,hard,33.980637965914106,0.9980037818352382,0.9774801443020503,0.04571651006311488,41.8321879254034,experiments/hat_hat_sstxlarge_dflip_tta_full120_20260512/wcur0p475_wprev0p175_wsst0p35_raw.csv
