route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p38_wprev0p14_wsst0p48_lin005,0.38,0.14,0.48,linear,0.005,0.0,1.0,hard,33.99007471717916,0.9980093528827031,0.9775533864895503,0.045962759948452,41.841312087557576,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p14_wsst0p48_lin005.csv
wcur0p38_wprev0p14_wsst0p48_lin0025,0.38,0.14,0.48,linear,0.0025,0.0,1.0,hard,33.9898708607243,0.9980089043577512,0.9775551587343216,0.045863985066534954,41.84130663420638,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p14_wsst0p48_lin0025.csv
wcur0p39_wprev0p135_wsst0p475_lin005,0.39,0.135,0.475,linear,0.005,0.0,1.0,hard,33.99005052143343,0.9980092202623685,0.9775520876049996,0.045961200500217576,41.8412876172172,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p135_wsst0p475_lin005.csv
wcur0p39_wprev0p135_wsst0p475_lin0025,0.39,0.135,0.475,linear,0.0025,0.0,1.0,hard,33.989843181859975,0.9980087508757909,0.9775538658102353,0.04586265734833432,41.84127810403852,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p135_wsst0p475_lin0025.csv
wcur0p4_wprev0p125_wsst0p475_lin005,0.4,0.125,0.475,linear,0.005,0.0,1.0,hard,33.99000209584886,0.9980090737342835,0.9775521586338679,0.045960980222056,41.841238895078185,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p125_wsst0p475_lin005.csv
wcur0p4_wprev0p13_wsst0p47_lin005,0.4,0.13,0.47,linear,0.005,0.0,1.0,hard,33.98999778891202,0.99800905585289,0.9775506724913915,0.045959511370165275,41.84123444627182,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p13_wsst0p47_lin005.csv
wcur0p4_wprev0p125_wsst0p475_lin0025,0.4,0.125,0.475,linear,0.0025,0.0,1.0,hard,33.98979459796196,0.9980085586508115,0.9775539105137189,0.04586219841633768,41.8412293740616,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p125_wsst0p475_lin0025.csv
wcur0p4_wprev0p13_wsst0p47_lin0025,0.4,0.13,0.47,linear,0.0025,0.0,1.0,hard,33.98978684099705,0.9980085819959641,0.9775524253646533,0.04586093981197337,41.841221304078196,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p13_wsst0p47_lin0025.csv
wcur0p4_wprev0p12_wsst0p48_lin005,0.4,0.12,0.48,linear,0.005,0.0,1.0,hard,33.98997907309387,0.9980090603232383,0.9775535086790721,0.045962384760302184,41.84121568287084,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p12_wsst0p48_lin005.csv
wcur0p4_wprev0p12_wsst0p48_lin0025,0.4,0.12,0.48,linear,0.0025,0.0,1.0,hard,33.98977493333033,0.9980086108048757,0.9775552660226822,0.04586328747876299,41.84121055524743,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p12_wsst0p48_lin0025.csv
wcur0p41_wprev0p12_wsst0p47_lin005,0.41,0.12,0.47,linear,0.005,0.0,1.0,hard,33.98994662012147,0.9980089197556178,0.9775507216652234,0.045959366153692824,41.84118284967824,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p12_wsst0p47_lin005.csv
wcur0p41_wprev0p12_wsst0p47_lin0025,0.41,0.12,0.47,linear,0.0025,0.0,1.0,hard,33.98973557950064,0.9980084096391996,0.9775524710615476,0.045860543435749905,41.84116989258743,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p12_wsst0p47_lin0025.csv
wcur0p41_wprev0p125_wsst0p465_lin005,0.41,0.125,0.465,linear,0.005,0.0,1.0,hard,33.9899166056098,0.9980089192589124,0.9775491088628769,0.04595791730146933,41.84115250428609,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p125_wsst0p465_lin005.csv
wcur0p39_wprev0p12_wsst0p49_lin0025,0.39,0.12,0.49,linear,0.0025,0.0,1.0,hard,33.98970655859429,0.9980087384581566,0.9775575796763102,0.045866387339871535,41.84114137401611,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p12_wsst0p49_lin0025.csv
wcur0p39_wprev0p12_wsst0p49_lin005,0.39,0.12,0.49,linear,0.005,0.0,1.0,hard,33.9899042110881,0.9980092336734135,0.9775557885567348,0.04596536697499687,41.84114045629206,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p12_wsst0p49_lin005.csv
wcur0p41_wprev0p125_wsst0p465_lin0025,0.41,0.125,0.465,linear,0.0025,0.0,1.0,hard,33.98970193797939,0.9980084339777628,0.9775508418679237,0.04585906709059297,41.84113609140063,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p125_wsst0p465_lin0025.csv
wcur0p38_wprev0p14_wsst0p48_cubic0025,0.38,0.14,0.48,cubic,0.0025,0.0,1.0,hard,33.989683571083305,0.9980088666081428,0.9775556683540344,0.04587656350874265,41.84109498042275,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p14_wsst0p48_cubic0025.csv
wcur0p39_wprev0p135_wsst0p475_cubic0025,0.39,0.135,0.475,cubic,0.0025,0.0,1.0,hard,33.989655913210605,0.9980086440841357,0.9775543719530105,0.04587438487748538,41.84106775186647,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p135_wsst0p475_cubic0025.csv
wcur0p38_wprev0p14_wsst0p48_raw,0.38,0.14,0.48,,0.0,0.0,1.0,hard,33.98943436286346,0.998008269071579,0.977556478480498,0.04576607043951905,41.84106479337489,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p14_wsst0p48_raw.csv
wcur0p42_wprev0p12_wsst0p46_lin005,0.42,0.12,0.46,linear,0.005,0.0,1.0,hard,33.98980695481829,0.9980087180932363,0.9775474309921265,0.04595595671562478,41.84104221193071,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p42_wprev0p12_wsst0p46_lin005.csv
wcur0p39_wprev0p135_wsst0p475_raw,0.39,0.135,0.475,,0.0,0.0,1.0,hard,33.989403365421666,0.998008077343305,0.9775551607211431,0.04576480397760558,41.84103254296857,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p135_wsst0p475_raw.csv
wcur0p42_wprev0p12_wsst0p46_lin0025,0.42,0.12,0.46,linear,0.0025,0.0,1.0,hard,33.98958841971773,0.9980082298318546,0.9775491764148077,0.045857495375094,41.84102116078828,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p42_wprev0p12_wsst0p46_lin0025.csv
wcur0p4_wprev0p125_wsst0p475_cubic0025,0.4,0.125,0.475,cubic,0.0025,0.0,1.0,hard,33.98960728548428,0.9980085169275602,0.9775544126828511,0.04587435106222983,41.84101851029089,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p125_wsst0p475_cubic0025.csv
wcur0p4_wprev0p13_wsst0p47_cubic0025,0.4,0.13,0.47,cubic,0.0025,0.0,1.0,hard,33.989599726592,0.9980084975560506,0.9775529270370801,0.04587307385469709,41.84101041829307,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p13_wsst0p47_cubic0025.csv
wcur0p4_wprev0p12_wsst0p48_cubic0025,0.4,0.12,0.48,cubic,0.0025,0.0,1.0,hard,33.98958745797657,0.9980085189143817,0.9775557855765025,0.04587565470574191,41.84099883320438,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p12_wsst0p48_cubic0025.csv
wcur0p4_wprev0p125_wsst0p475_raw,0.4,0.125,0.475,,0.0,0.0,1.0,hard,33.9893546768614,0.9980079278349876,0.9775552014509837,0.045764568767238716,41.84098350923881,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p125_wsst0p475_raw.csv
wcur0p4_wprev0p13_wsst0p47_raw,0.4,0.13,0.47,,0.0,0.0,1.0,hard,33.98934360792164,0.9980078940590222,0.9775537108381589,0.045763311969737215,41.840971770012615,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p13_wsst0p47_raw.csv
wcur0p4_wprev0p12_wsst0p48_raw,0.4,0.12,0.48,,0.0,0.0,1.0,hard,33.98933827196519,0.9980079149206479,0.9775565798083942,0.04576567496987991,41.840967571166104,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p4_wprev0p12_wsst0p48_raw.csv
wcur0p38_wprev0p12_wsst0p5_lin0025,0.38,0.12,0.5,linear,0.0025,0.0,1.0,hard,33.98953022204004,0.9980087831616402,0.9775593633453051,0.04586897365467545,41.84096370039114,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p12_wsst0p5_lin0025.csv
wcur0p41_wprev0p12_wsst0p47_cubic0025,0.41,0.12,0.47,cubic,0.0025,0.0,1.0,hard,33.989548295788246,0.9980083232124647,0.9775529786944389,0.045872764607581,41.840958663236755,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p12_wsst0p47_cubic0025.csv
wcur0p38_wprev0p12_wsst0p5_lin005,0.38,0.12,0.5,linear,0.005,0.0,1.0,hard,33.989721958471684,0.998009292781353,0.9775575508673986,0.04596766949543962,41.84095747790372,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p12_wsst0p5_lin005.csv
wcur0p39_wprev0p12_wsst0p49_cubic0025,0.39,0.12,0.49,cubic,0.0025,0.0,1.0,hard,33.98951884362811,0.9980086420973142,0.9775580664475759,0.045878599229520964,41.840929630648105,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p12_wsst0p49_cubic0025.csv
wcur0p41_wprev0p125_wsst0p465_cubic0025,0.41,0.125,0.465,cubic,0.0025,0.0,1.0,hard,33.98951489443133,0.998008343577385,0.9775513688723246,0.045871374410732337,41.84092494481882,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p125_wsst0p465_cubic0025.csv
wcur0p41_wprev0p12_wsst0p47_raw,0.41,0.12,0.47,,0.0,0.0,1.0,hard,33.9892922269968,0.9980077708760897,0.9775537624955177,0.045762967751458446,41.84092044174146,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p12_wsst0p47_raw.csv
wcur0p39_wprev0p12_wsst0p49_raw,0.39,0.12,0.49,,0.0,0.0,1.0,hard,33.98927604020503,0.9980080475409826,0.9775589083631834,0.04576876964032029,41.84090460289664,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p39_wprev0p12_wsst0p49_raw.csv
wcur0p41_wprev0p125_wsst0p465_raw,0.41,0.125,0.465,,0.0,0.0,1.0,hard,33.98925516426761,0.998007773856322,0.9775521293282509,0.04576108414621558,41.84088389776962,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p41_wprev0p125_wsst0p465_raw.csv
wcur0p42_wprev0p12_wsst0p46_cubic0025,0.42,0.12,0.46,cubic,0.0025,0.0,1.0,hard,33.989401467189026,0.9980081846316655,0.9775496775905291,0.04586937276665897,41.84081118462675,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p42_wprev0p12_wsst0p46_cubic0025.csv
wcur0p42_wprev0p12_wsst0p46_raw,0.42,0.12,0.46,,0.0,0.0,1.0,hard,33.98913796662351,0.9980075567960739,0.97755043754975,0.04575983755736767,41.84076450738472,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p42_wprev0p12_wsst0p46_raw.csv
wcur0p38_wprev0p12_wsst0p5_cubic0025,0.38,0.12,0.5,cubic,0.0025,0.0,1.0,hard,33.989342392900944,0.9980087012052536,0.9775598645210266,0.04588117610352735,41.84075197696747,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p12_wsst0p5_cubic0025.csv
wcur0p38_wprev0p12_wsst0p5_raw,0.38,0.12,0.5,,0.0,0.0,1.0,hard,33.98910543078213,0.9980080892642339,0.9775607089201609,0.04577078729780624,41.84073380961225,experiments/hat_hat_sstxlarge_dflip_tta_full120_finepost_20260512/wcur0p38_wprev0p12_wsst0p5_raw.csv
