route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p325_wprev0p2_wsst0p475_raw,0.325,0.2,0.475,,0.0,0.0,1.0,hard,33.989612662221205,0.9980085427562396,0.9775546063979467,0.045766909613545674,41.84123931232745,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p325_wprev0p2_wsst0p475_raw.csv
wcur0p35_wprev0p175_wsst0p475_raw,0.35,0.175,0.475,,0.0,0.0,1.0,hard,33.98955404045845,0.9980084344744682,0.9775548646847407,0.04576604087972858,41.84118229491528,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p35_wprev0p175_wsst0p475_raw.csv
wcur0p375_wprev0p15_wsst0p475_raw,0.375,0.15,0.475,,0.0,0.0,1.0,hard,33.98946807470737,0.9980082174142202,0.9775550598899524,0.04576518683267447,41.84109712530724,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p375_wprev0p15_wsst0p475_raw.csv
wcur0p3_wprev0p2_wsst0p5_raw,0.3,0.2,0.5,,0.0,0.0,1.0,hard,33.98936558450978,0.9980086699128151,0.9775601203242937,0.04577337935431084,41.84099108592663,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p3_wprev0p2_wsst0p5_raw.csv
wcur0p4_wprev0p125_wsst0p475_raw,0.4,0.125,0.475,,0.0,0.0,1.0,hard,33.9893546768614,0.9980079278349876,0.9775552014509837,0.045764568767238716,41.84098350923881,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p4_wprev0p125_wsst0p475_raw.csv
wcur0p325_wprev0p175_wsst0p5_raw,0.325,0.175,0.5,,0.0,0.0,1.0,hard,33.989314427113726,0.9980086301763852,0.9775603448351224,0.045772259279813925,41.84094237928265,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p325_wprev0p175_wsst0p5_raw.csv
wcur0p35_wprev0p15_wsst0p5_raw,0.35,0.15,0.5,,0.0,0.0,1.0,hard,33.989235851315726,0.998008431494236,0.9775605484843254,0.045771418987715154,41.84086469927436,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p35_wprev0p15_wsst0p5_raw.csv
wcur0p425_wprev0p1_wsst0p475_raw,0.425,0.1,0.475,,0.0,0.0,1.0,hard,33.98921394213391,0.9980074947079023,0.977555317680041,0.04576323624302556,41.84084307325535,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p425_wprev0p1_wsst0p475_raw.csv
wcur0p35_wprev0p2_wsst0p45_raw,0.35,0.2,0.45,,0.0,0.0,1.0,hard,33.9891831351909,0.9980081230401993,0.9775459592541059,0.045758990047033876,41.84080581184624,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p35_wprev0p2_wsst0p45_raw.csv
wcur0p375_wprev0p125_wsst0p5_raw,0.375,0.125,0.5,,0.0,0.0,1.0,hard,33.98912984161476,0.9980081434051196,0.9775606925288837,0.0457710219285218,41.8407580432462,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p375_wprev0p125_wsst0p5_raw.csv
wcur0p375_wprev0p175_wsst0p45_raw,0.375,0.175,0.45,,0.0,0.0,1.0,hard,33.9891171524146,0.9980079968770345,0.9775462061166763,0.04575814111061239,41.84074126368893,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p375_wprev0p175_wsst0p45_raw.csv
wcur0p45_wprev0p075_wsst0p475_raw,0.45,0.075,0.475,,0.0,0.0,1.0,hard,33.989045835402756,0.9980067700147629,0.9775553792715073,0.04576214663587355,41.8406729207626,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p45_wprev0p075_wsst0p475_raw.csv
wcur0p4_wprev0p15_wsst0p45_raw,0.4,0.15,0.45,,0.0,0.0,1.0,hard,33.98902373000759,0.9980078270037969,0.9775464162230492,0.045757476384945525,41.84064857170657,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p4_wprev0p15_wsst0p45_raw.csv
wcur0p4_wprev0p1_wsst0p5_raw,0.4,0.1,0.5,,0.0,0.0,1.0,hard,33.98899643394236,0.9980078046520551,0.9775607978304227,0.045770202186637715,41.84062445314226,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p4_wprev0p1_wsst0p5_raw.csv
wcur0p425_wprev0p125_wsst0p45_raw,0.425,0.125,0.45,,0.0,0.0,1.0,hard,33.98890299824602,0.9980073730150859,0.9775465761621793,0.04575665116911599,41.84052708632266,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p425_wprev0p125_wsst0p45_raw.csv
wcur0p475_wprev0p05_wsst0p475_raw,0.475,0.05,0.475,,0.0,0.0,1.0,hard,33.98885027781382,0.9980058938264846,0.9775553991397222,0.04576125330592428,41.84047393244032,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p475_wprev0p05_wsst0p475_raw.csv
wcur0p425_wprev0p075_wsst0p5_raw,0.425,0.075,0.5,,0.0,0.0,1.0,hard,33.988835635133036,0.9980071847637494,0.9775608584284783,0.04576912588333168,41.840462208805825,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p425_wprev0p075_wsst0p5_raw.csv
wcur0p45_wprev0p1_wsst0p45_raw,0.45,0.1,0.45,,0.0,0.0,1.0,hard,33.98875492535612,0.9980068479975065,0.977546696861585,0.04575525682497149,41.84037889341438,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p45_wprev0p1_wsst0p45_raw.csv
wcur0p45_wprev0p05_wsst0p5_raw,0.45,0.05,0.5,,0.0,0.0,1.0,hard,33.98864741909823,0.9980063835779825,0.9775608708461125,0.045768096930017536,41.84027126839831,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p45_wprev0p05_wsst0p5_raw.csv
wcur0p475_wprev0p075_wsst0p45_raw,0.475,0.075,0.45,,0.0,0.0,1.0,hard,33.98857943588908,0.998006101946036,0.9775467400749525,0.04575399316575689,41.840201541383685,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p475_wprev0p075_wsst0p45_raw.csv
wcur0p3_wprev0p175_wsst0p525_raw,0.3,0.175,0.525,,0.0,0.0,1.0,hard,33.98839707367562,0.9980085298418999,0.9775626619656881,0.04577755840145983,41.84001845985548,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p3_wprev0p175_wsst0p525_raw.csv
wcur0p5_wprev0p05_wsst0p45_raw,0.5,0.05,0.45,,0.0,0.0,1.0,hard,33.988376617775415,0.9980051815509796,0.977546771367391,0.04575319547875552,41.83999485885856,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p5_wprev0p05_wsst0p45_raw.csv
wcur0p325_wprev0p15_wsst0p525_raw,0.325,0.15,0.525,,0.0,0.0,1.0,hard,33.98832589082891,0.9980084265271822,0.9775628527005513,0.045776537291142935,41.83994908081082,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p325_wprev0p15_wsst0p525_raw.csv
wcur0p35_wprev0p125_wsst0p525_raw,0.35,0.125,0.525,,0.0,0.0,1.0,hard,33.98822730255635,0.9980082089702288,0.9775630156199138,0.045776533528987785,41.83984952055958,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p35_wprev0p125_wsst0p525_raw.csv
wcur0p375_wprev0p1_wsst0p525_raw,0.375,0.1,0.525,,0.0,0.0,1.0,hard,33.98810128352381,0.9980078175663948,0.9775631075104078,0.045775895528883365,41.83972261288523,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p375_wprev0p1_wsst0p525_raw.csv
wcur0p375_wprev0p2_wsst0p425_raw,0.375,0.2,0.425,,0.0,0.0,1.0,hard,33.98807847360143,0.9980074435472488,0.9775341585278511,0.045750608333037235,41.83969023527456,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p375_wprev0p2_wsst0p425_raw.csv
wcur0p4_wprev0p175_wsst0p425_raw,0.4,0.175,0.425,,0.0,0.0,1.0,hard,33.98800509320304,0.9980072930455208,0.9775344183047613,0.04574965605376444,41.839618375978155,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p4_wprev0p175_wsst0p425_raw.csv
wcur0p4_wprev0p075_wsst0p525_raw,0.4,0.075,0.525,,0.0,0.0,1.0,hard,33.987947852941964,0.9980073218544324,0.977563169101874,0.045775028760544956,41.83956806475122,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p4_wprev0p075_wsst0p525_raw.csv
wcur0p425_wprev0p15_wsst0p425_raw,0.425,0.15,0.425,,0.0,0.0,1.0,hard,33.987904308707265,0.9980069860816002,0.9775346095363299,0.045748685975559054,41.839518072318405,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p425_wprev0p15_wsst0p425_raw.csv
wcur0p45_wprev0p125_wsst0p425_raw,0.45,0.125,0.425,,0.0,0.0,1.0,hard,33.98777629033132,0.9980066498120626,0.9775347625215848,0.04574724899333281,41.839391216260196,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p45_wprev0p125_wsst0p425_raw.csv
wcur0p425_wprev0p05_wsst0p525_raw,0.425,0.05,0.525,,0.0,0.0,1.0,hard,33.98776696267649,0.9980066239833831,0.9775631735722224,0.04577417959323308,41.839384694534765,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p425_wprev0p05_wsst0p525_raw.csv
wcur0p475_wprev0p1_wsst0p425_raw,0.475,0.1,0.425,,0.0,0.0,1.0,hard,33.987620815908436,0.9980060115456582,0.9775348757704099,0.04574638617389913,41.83923386437541,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p475_wprev0p1_wsst0p425_raw.csv
wcur0p5_wprev0p075_wsst0p425_raw,0.5,0.075,0.425,,0.0,0.0,1.0,hard,33.98743801972777,0.9980052297314008,0.9775349602103234,0.0457455448617111,41.839048228813404,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p5_wprev0p075_wsst0p425_raw.csv
wcur0p525_wprev0p05_wsst0p425_raw,0.525,0.05,0.425,,0.0,0.0,1.0,hard,33.98722794561546,0.9980041950941085,0.9775349830587705,0.045744367477406435,41.83883434734284,experiments/hat_hat_sstxlarge_dflip_tta_full120_grid025_20260512/wcur0p525_wprev0p05_wsst0p425_raw.csv
