route,weight_cur,weight_prev,weight_sst,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p4_wprev0p125_wsst0p475_raw,0.4,0.125,0.475,,0.0,0.0,1.0,hard,33.9893546768614,0.9980079278349876,0.9775552014509837,0.045764568767238716,41.84098350923881,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p4_wprev0p125_wsst0p475_raw.csv
wcur0p425_wprev0p1_wsst0p475_raw,0.425,0.1,0.475,,0.0,0.0,1.0,hard,33.98921394213391,0.9980074947079023,0.977555317680041,0.04576323624302556,41.84084307325535,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p425_wprev0p1_wsst0p475_raw.csv
wcur0p375_wprev0p125_wsst0p5_raw,0.375,0.125,0.5,,0.0,0.0,1.0,hard,33.98912984161476,0.9980081434051196,0.9775606925288837,0.0457710219285218,41.8407580432462,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p375_wprev0p125_wsst0p5_raw.csv
wcur0p4_wprev0p1_wsst0p5_raw,0.4,0.1,0.5,,0.0,0.0,1.0,hard,33.98899643394236,0.9980078046520551,0.9775607978304227,0.045770202186637715,41.84062445314226,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p4_wprev0p1_wsst0p5_raw.csv
wcur0p425_wprev0p075_wsst0p5_raw,0.425,0.075,0.5,,0.0,0.0,1.0,hard,33.988835635133036,0.9980071847637494,0.9775608584284783,0.04576912588333168,41.840462208805825,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p425_wprev0p075_wsst0p5_raw.csv
wcur0p45_wprev0p1_wsst0p45_raw,0.45,0.1,0.45,,0.0,0.0,1.0,hard,33.98875492535612,0.9980068479975065,0.977546696861585,0.04575525682497149,41.84037889341438,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p45_wprev0p1_wsst0p45_raw.csv
wcur0p45_wprev0p05_wsst0p5_raw,0.45,0.05,0.5,,0.0,0.0,1.0,hard,33.98864741909823,0.9980063835779825,0.9775608708461125,0.045768096930017536,41.84027126839831,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p45_wprev0p05_wsst0p5_raw.csv
wcur0p35_wprev0p125_wsst0p525_raw,0.35,0.125,0.525,,0.0,0.0,1.0,hard,33.98822730255635,0.9980082089702288,0.9775630156199138,0.045776533528987785,41.83984952055958,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p35_wprev0p125_wsst0p525_raw.csv
wcur0p375_wprev0p1_wsst0p525_raw,0.375,0.1,0.525,,0.0,0.0,1.0,hard,33.98810128352381,0.9980078175663948,0.9775631075104078,0.045775895528883365,41.83972261288523,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p375_wprev0p1_wsst0p525_raw.csv
wcur0p4_wprev0p075_wsst0p525_raw,0.4,0.075,0.525,,0.0,0.0,1.0,hard,33.987947852941964,0.9980073218544324,0.977563169101874,0.045775028760544956,41.83956806475122,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p4_wprev0p075_wsst0p525_raw.csv
wcur0p35_wprev0p1_wsst0p55_raw,0.35,0.1,0.55,,0.0,0.0,1.0,hard,33.98652785226704,0.9980077435572942,0.9775622581442197,0.045779710877589724,41.838139408144066,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p35_wprev0p1_wsst0p55_raw.csv
wcur0p375_wprev0p075_wsst0p55_raw,0.375,0.075,0.55,,0.0,0.0,1.0,hard,33.986381795109395,0.998007212082545,0.9775622988740603,0.04577874000970041,41.83799218533338,experiments/hat_hat_sstxlarge_dflip_tta_full120_wide_20260512/wcur0p375_wprev0p075_wsst0p55_raw.csv
