route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,35.822512019279785,0.9984700195491314,0.9837977327406406,0.034894464508397505,43.71113867303906,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p7_raw.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,35.82134436359004,0.9984665960073471,0.9838066324591637,0.03478959412313998,43.71017801630617,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p65_raw.csv
a0p75_raw,0.75,,0.0,0.0,1.0,hard,35.81926930901874,0.9984712041914463,0.9837739691138268,0.034978855605004355,43.707686761185066,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p75_raw.csv
a0p8_raw,0.8,,0.0,0.0,1.0,hard,35.811634003032715,0.9984707087278366,0.9837350994348526,0.03504796899505891,43.69983251627932,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p8_raw.csv
a0p825_raw,0.825,,0.0,0.0,1.0,hard,35.80618159504984,0.9984696358442307,0.9837101064622402,0.035073647333774716,43.69427232837216,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p825_raw.csv
a0p85_raw,0.85,,0.0,0.0,1.0,hard,35.79964586111748,0.9984682463109493,0.9836813472211361,0.035096491570584476,43.68762505028428,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p85_raw.csv
a0p875_raw,0.875,,0.0,0.0,1.0,hard,35.79203597402336,0.9984663836658001,0.9836488552391529,0.03511541726766154,43.67990115196114,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p875_raw.csv
a0p9_raw,0.9,,0.0,0.0,1.0,hard,35.78335868122639,0.9984641931951046,0.9836126677691936,0.03512797993607819,43.67111321606325,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p9_raw.csv
a0p925_raw,0.925,,0.0,0.0,1.0,hard,35.773621807008546,0.9984614625573158,0.9835728034377098,0.03513603107421659,43.66126412707943,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p925_raw.csv
a0p95_raw,0.95,,0.0,0.0,1.0,hard,35.762842376821474,0.9984583519399166,0.9835292994976044,0.03513956320239231,43.6503719610514,experiments/hat_sstxlarge_dflip_smoke16_20260512/a0p95_raw.csv
a1_raw,1.0,,0.0,0.0,1.0,hard,35.73823931389016,0.9984506107866764,0.9834318608045578,0.03513152099912986,43.625543658221076,experiments/hat_sstxlarge_dflip_smoke16_20260512/a1_raw.csv
