route,alpha_hat,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
a0p75_raw,0.75,,0.0,0.0,1.0,hard,37.62363955751545,0.9986969828605652,0.9884339720010757,0.02637057052925229,45.53994825762249,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p75_raw.csv
a0p8_raw,0.8,,0.0,0.0,1.0,hard,37.62172295238055,0.9986940920352936,0.9884188622236252,0.026292345253750682,45.53814053853206,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p8_raw.csv
a0p7_raw,0.7,,0.0,0.0,1.0,hard,37.62173247990564,0.9986988604068756,0.9884384274482727,0.02644740091636777,45.5379076954107,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p7_raw.csv
a0p675_raw,0.675,,0.0,0.0,1.0,hard,37.6193486180377,0.998699501156807,0.9884367883205414,0.02648541098460555,45.53544837965041,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p675_raw.csv
a0p65_raw,0.65,,0.0,0.0,1.0,hard,37.616015448371435,0.9987001121044159,0.9884325116872787,0.026524443179368973,45.53203225801375,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p65_raw.csv
a0p625_raw,0.625,,0.0,0.0,1.0,hard,37.61173393987818,0.9987000823020935,0.9884255528450012,0.026562366634607315,45.52766080611153,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p625_raw.csv
a0p6_raw,0.6,,0.0,0.0,1.0,hard,37.60650828367621,0.9986994862556458,0.9884159564971924,0.0266002737917006,45.52233656662107,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p6_raw.csv
a0p55_raw,0.55,,0.0,0.0,1.0,hard,37.59324514694166,0.9986990094184875,0.9883887469768524,0.02667784970253706,45.50886099800122,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p55_raw.csv
a0p5_raw,0.5,,0.0,0.0,1.0,hard,37.57626591606143,0.9986971318721771,0.9883509874343872,0.02675496879965067,45.491640744563966,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p5_raw.csv
a0p45_raw,0.45,,0.0,0.0,1.0,hard,37.55562400192116,0.9986943453550339,0.9883029758930206,0.02682677237316966,45.470742481091065,experiments/hat_sstxlarge_dflip_tta_smoke4_20260512/a0p45_raw.csv
