source,recipe,static_score,model_family,model_variant,weights,out_dir,initial_val,final_val,best_val,delta,train_loss,promoted_or_closed
DIV2K_train_HR,official_cubic_s05_j01_n0_g0,0.2736379074753602,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_div2k_cubic_s05_j01_probe_p48_avg,43.082185970370716,43.03191163861388,43.082185970370716,-0.05027433175683882,0.022426730151209995,closed
DIV2K_train_HR,official_area_s05_j01_n0_g0,0.2897563673999144,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_div2k_area_s05_j01_probe_p48_avg,43.082185970370716,43.07630521877267,43.082185970370716,-0.005880751598049017,0.017878212912364688,closed
official_train,official_only_micro_initgate,,grl,base,external_models/GRL_weights/sr_grl_base_c3x2.ckpt,checkpoints_grl_base_official_probe_p48_avg,42.63822,42.63822,42.63822,0.0,,closed
official_train,official_only_micro_initgate,,rgt,rgt,external_models/RGT_weights/RGT_x2.pth,checkpoints_rgt_official_probe_p48_avg,42.41615,42.41615,42.41615,0.0,,closed
official_train,official_only_micro_initgate,,swin2sr,base,external_models/Swin2SR_weights/Swin2SR_ClassicalSR_X2_64.pth,checkpoints_swin2sr_official_probe_p48_avg,42.15567,42.15567,42.15567,0.0,,closed
Flickr2K_rand1024,official_area_s05_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_flickr2k_area_s05_j01_rand1024_probe_p48_avg,43.082185970370716,43.07139084828333,43.082185970370716,-0.010795122087387199,0.01767641575474954,closed
Flickr2K_rand1024,official_cubic_s05_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_flickr2k_cubic_s05_j01_rand1024_probe_p48_avg,43.082185970370716,43.027831960319,43.082185970370716,-0.054354010051717694,0.021777379031163946,closed
Flickr2K_selected_top1024,official_area_s05_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_flickr2k_selected_top1024_area_s05_j01_probe_p48_avg,43.082182210954194,43.0813616647754,43.082182210954194,-0.0008205461787937907,0.01838739760160024,closed
LSDIR_540_selected_top1024,official_area_s065_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_lsdir_540_selected_top1024_area065_sj01_probe_p48_avg,43.082185970370716,43.05410788278863,43.082185970370716,-0.028078087582088074,0.015646338959868444,closed
LSDIR_540_selected_top1024,official_area_s065_j0_n0_g003,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_lsdir_540_selected_top1024_area065_g003_probe_p48_avg,43.08218597118562,43.06105226581033,43.08218597118562,-0.021133705375291356,0.016240864038309155,closed
bdd100k_selected_top1024,official_cubic_s05_j01_n0_g0,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_bdd100k_selected_top1024_cubic05_sj01_probe_p48_avg,43.082185970370716,43.02645005063982,43.082185970370716,-0.05573591973089265,0.007238818276846359,closed
bdd100k_selected_top1024,official_cubic_s05_j0_n0_g003,,hat,l,checkpoints_hat_l_official_cont_lr3e6_from_ep4_p48_avg/best_x2.pth,checkpoints_hat_l_bdd100k_selected_top1024_cubic05_g003_probe_p48_avg,43.082185970370716,43.03639046590917,43.082185970370716,-0.04579550446154457,0.009827169208165287,closed
