source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.1,0.0,0.0,0.44063945578738645,0.437962210181759,0.43983628210569825,0.22895062423776835,0.055792211395021205,0.20915811555460095
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.0,0.0,0.03,0.44352927285837407,0.43907087995900645,0.4421917549885638,0.228460663696751,0.05529150570344483,0.20900526508921757
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.1,0.25,0.0,0.4518895556822605,0.4293649342881368,0.44513216926402344,0.22531203069956973,0.05588844193916326,0.20493297814391553
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.1,0.25,0.03,0.4933071040073527,0.4478201960808831,0.4796610316294118,0.22075006243539974,0.05486226272889482,0.20565514534246176
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.1,0.0,0.03,0.4991436168470328,0.44897263786479336,0.48409232315236095,0.22010970825795084,0.055120024373330745,0.20144144556252286
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.0,0.25,0.03,0.4970676637176526,0.4720334988430716,0.4895574142552783,0.21779291745042428,0.05521945269211932,0.20234404149232432
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.0,0.25,0.0,0.4917517926856464,0.486929690578913,0.49030516205362634,0.21958288183668628,0.05495570428249369,0.20364563580369577
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.1,0.0,0.0,0.49373293996890205,0.48741421138305796,0.49183732139314884,0.21771805809112266,0.04566566823268344,0.20788750133942813
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,cubic,0.0,0.0,0.0,0.5061169833024404,0.4588377722265383,0.49193321997966977,0.21921034954721108,0.05500040726193159,0.2015889174072072
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.0,0.0,0.03,0.4964754705271025,0.48898120729410444,0.49422719155720307,0.2173440001788549,0.04530012354248777,0.20774587569758296
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.1,0.25,0.0,0.507136552514815,0.4809008366733513,0.4992658377623759,0.2142456030123867,0.04571357041206038,0.20367591199465096
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,area,0.1,0.0,0.0,0.5157113082652496,0.508818829637609,0.5136435646769574,0.2123542956833262,0.04208988359404106,0.20737909188028425
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,area,0.0,0.0,0.03,0.5175319746252384,0.5097922975207934,0.5152100714939049,0.2120079378655646,0.041792995458545035,0.2072426383383572
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.5,area,0.1,0.25,0.0,0.5292750234533165,0.502328701498943,0.5211911268670044,0.20897856372175738,0.04212580947334893,0.2031738162622787
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.1,0.25,0.03,0.5454444247829006,0.49687737474292687,0.5308743097709084,0.2100625776220113,0.04498521313900185,0.20445967407431453
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.1,0.0,0.03,0.5545907192110083,0.5007351510124239,0.538434048751433,0.2093561149085872,0.04513202250358997,0.20022729376796633
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.0,0.25,0.03,0.5497752069425781,0.5194243135371774,0.5406699389209578,0.2072703282465227,0.0452594026190637,0.20116158184828237
a2d2_preview_frontcenter,external_data/A2D2_preview_frontcenter_only,128,1.0,0.65,cubic,0.0,0.25,0.0,0.5458035561894029,0.5320002769145902,0.541662572406959,0.20889470935799181,0.045023630378930035,0.2024438453372568
