source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.1,0.25,0.03,0.4495288665754927,0.3784582854349449,0.42820769223332833,0.25210888346191496,0.06560480352166564,0.21006653795484453
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.0,0.25,0.03,0.47983803506365663,0.4116932710861467,0.45939460587040365,0.24416700971778482,0.0657560593656234,0.2049674732843414
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.1,0.0,0.03,0.483054513765699,0.405862656178367,0.4598969564894994,0.24591676681302488,0.06470620654735298,0.20640301459934562
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.1,0.0,0.0,0.4686222744587492,0.4448679060915387,0.46149596394858605,0.24615117185749114,0.06742428250225237,0.2044676619116217
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.0,0.0,0.03,0.47144842826675293,0.445635088824677,0.4637044264341301,0.24509436619700864,0.06609272447571313,0.20425138506107032
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.1,0.25,0.0,0.4779951302288592,0.4368179772665431,0.46564198434016435,0.24441987473983318,0.06753625506784548,0.2034787256270647
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.65,cubic,0.1,0.25,0.03,0.5171954330631633,0.4415890184670183,0.49451350868431976,0.23837823735084385,0.052965667530316035,0.20848105452023447
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,cubic,0.0,0.25,0.0,0.5106804511899817,0.49420287502466986,0.5057371783403881,0.2396644672844559,0.06556292831545893,0.20262150326743722
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.5,area,0.1,0.25,0.03,0.5432086845378071,0.4665924351063772,0.5202238097083781,0.23210124380420893,0.04868188726483033,0.20787816238589585
a2d2_preview_frontcenter_smoke64,external_data/A2D2_preview_frontcenter_only,64,1.0,0.65,cubic,0.1,0.0,0.03,0.5481398175609574,0.4685694954229984,0.5242687209195697,0.23266247124411166,0.05235583920744451,0.20487589901313186
