source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.1,0.0,0.0,0.8599374778156736,0.8271006067117778,0.8500864164845048,0.16102282729116268,0.02372638332759133,0.20892817800631747
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.0,0.0,0.03,0.8610937772947258,0.8278118755729164,0.8511092067781829,0.16061956225894392,0.023531909646110405,0.2088681937311776
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.1,0.25,0.03,0.8748748610408658,0.8283584124775495,0.8609199264718708,0.15825655820663087,0.023387850092471754,0.20502832892816514
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.1,0.25,0.0,0.8787017373833734,0.8397469072131698,0.8670152883323123,0.1578146331012249,0.02387453491250693,0.2039478361257352
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.0,0.25,0.0,0.8790587370670386,0.8449527501774758,0.8688269410001697,0.15712734920089133,0.023558600907053598,0.2021391986636445
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.65,cubic,0.1,0.0,0.0,0.88442039565215,0.851333957159565,0.8744944641043745,0.15572823051479645,0.020819716906100114,0.20851891802158207
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.65,cubic,0.0,0.0,0.03,0.8849956232881394,0.8514112214846769,0.8749203027471006,0.15549446115619503,0.02068046117495015,0.20846439828164876
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.0,0.25,0.03,0.8922767634919944,0.8490640768716852,0.8793129575059015,0.1545344176411163,0.0234095529647161,0.2018719600746408
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.5,cubic,0.1,0.0,0.03,0.8928976512234158,0.853516154081481,0.8810832020808353,0.15549509957781993,0.023545648485895132,0.2018205189378932
comma2k19_testvideos_pilot8_1fps,external_data/comma2k19_testvideos_pilot8_1fps,128,1.0,0.65,cubic,0.1,0.25,0.03,0.8993539474371649,0.8525805963634921,0.885321942115063,0.15322244723211043,0.020556792550943392,0.20463438815204427
