source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.1,0.0,0.0,0.3815696085262409,0.34341499978463225,0.37012322590375824,0.3016388933174312,0.06945572801977672,0.19751382890778282
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.0,0.0,0.03,0.38543673002954704,0.3470144563517934,0.3739100479262209,0.3008052525110543,0.06874066780669645,0.19748114437485734
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.0,0.25,0.03,0.3953740482716029,0.353274394147564,0.38274415203439116,0.2950416094002624,0.06903925292421526,0.1907723522357022
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.1,0.25,0.03,0.417750262821293,0.3513953017574077,0.3978437745021274,0.2871770445878307,0.06931430585277282,0.18742860147419074
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.65,cubic,0.1,0.0,0.0,0.4154143837355268,0.3681839937480835,0.4012452667392938,0.2900947415425132,0.058996286189345826,0.1961224499003341
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.65,cubic,0.0,0.0,0.03,0.41930694847701805,0.37115979944404853,0.4048628037671272,0.28949104342609644,0.05846445376572945,0.1961118660401553
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.0,0.25,0.0,0.4267658660879438,0.36920972169423133,0.4094990227698301,0.2875780893179278,0.07032474869674914,0.18496987340040505
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,cubic,0.1,0.25,0.0,0.41310217792557774,0.4197742255185659,0.41510379220347415,0.36291420211394626,0.06230785017370116,0.21329015167430043
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,area,0.1,0.0,0.0,0.4314109823798296,0.3775505795717916,0.41525286153741814,0.2844139680576821,0.05516135140651964,0.19552362663671374
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,area,0.0,0.0,0.03,0.4350733115913075,0.3809712685103569,0.4188426986670223,0.2839541266827534,0.05471879902897701,0.1955257426792135
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.65,cubic,0.0,0.25,0.03,0.43592232412272053,0.38247415538734036,0.41988787350210643,0.283985941670835,0.05873005380978678,0.18942328243671605
flir_iisr_hr,external_data/FLIR-IISR/FLIR-IISR/HR,96,1.0,0.5,cubic,0.0,0.0,0.0,0.4399520754264373,0.3769781387109498,0.42105989441179104,0.27994655918640393,0.06844710516419157,0.1860058041444669
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,cubic,0.0,0.0,0.03,0.4184907928679625,0.4324558251100307,0.422680302540583,0.36459297019367415,0.06161490852041248,0.2144731212562571
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,cubic,0.1,0.0,0.0,0.41957668490595923,0.4341496462066228,0.4239485732961582,0.36461372564857203,0.06172957226327228,0.21448576628851393
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.65,cubic,0.1,0.25,0.0,0.4231564766099436,0.42799355180036847,0.424607599167071,0.3529535351941983,0.05610906576559848,0.2122044044857224
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,cubic,0.1,0.25,0.03,0.432518887766893,0.41096694126218253,0.42605330381547984,0.35816829558461905,0.06146459919576156,0.21268541746151945
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.65,cubic,0.0,0.0,0.03,0.4273495564800698,0.4377334169934257,0.43046471463407654,0.3546697503576676,0.055546102310476575,0.21339646338795623
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,cubic,0.0,0.25,0.03,0.43220610512505103,0.4267936849513466,0.4305823790729397,0.3562173256650567,0.061672124786629125,0.2089091381834199
hit_uav,external_data/HIT_UAV_ir/all,96,1.0,0.5,area,0.1,0.25,0.0,0.4303249241713699,0.4315662235292449,0.43069731397873234,0.346664000612994,0.052890988895129276,0.21154884256732961
