source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.1,0.0,0.0,0.8520499192004162,0.8031429506156684,0.8373778286249918,0.258875381317921,0.054043452806443154,0.1732065780670382
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.0,0.0,0.03,0.8574496541507245,0.8073775072362555,0.8424280100763838,0.2582255510496907,0.05351487228402226,0.1730415379279293
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.0,0.25,0.03,0.8858318581664636,0.8211368897312341,0.8664233676358947,0.24906952629680745,0.05366681856469305,0.16792877719854005
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.1,0.0,0.0,0.8862089223508386,0.8367040475100399,0.8713574598985989,0.24988435837440193,0.04699448872458489,0.17231389362132177
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.0,0.0,0.03,0.8907257999437087,0.8401495576249275,0.8755529272480743,0.24931607773760334,0.04656872444475393,0.17215803446015343
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.1,0.25,0.03,0.9034754645632077,0.8404370262313944,0.8845639330636637,0.24670065875397995,0.053223606682901964,0.16769556506187655
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.1,0.0,0.0,0.9022484862425123,0.8525688321653098,0.8873445900193515,0.24488757381914183,0.04392836221625722,0.17184231762075797
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.0,0.0,0.03,0.9069675180797496,0.8561770389764255,0.8917303743487524,0.24431955796899274,0.04354365580714819,0.17168816219782457
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.1,0.0,0.0,0.9143810079385087,0.8448281485713224,0.8935151501283528,0.25278497976250947,0.05670838784923652,0.16534994647372514
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.0,0.25,0.0,0.9137320550631121,0.8482524926200776,0.8940881863302017,0.24477359227603301,0.053638379478026056,0.16641126648755744
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.0,0.0,0.03,0.9154906620095676,0.8457360538377114,0.8945642795580107,0.25248813576763496,0.05648489082344857,0.165232072933577
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.1,0.0,0.03,0.9147513541712388,0.8497206568397511,0.8952421449717924,0.2456368649727665,0.05370249890642599,0.16760226641781628
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.0,0.25,0.03,0.9207613881589408,0.8555506053840375,0.9011981533264698,0.2404918198590167,0.04676336781595565,0.1670743048307486
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.0,0.0,0.0,0.9314979672433258,0.8656352179582668,0.9117391424578081,0.24308356340043247,0.05281023996068378,0.16623674554284662
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,area,0.1,0.0,0.0,0.9281521114183489,0.8777799580634996,0.9130404654118941,0.2375107083353214,0.03893986681779978,0.1711301984032616
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,cubic,0.1,0.25,0.0,0.9350692816528096,0.8627701131637087,0.9133795311060793,0.24131099809892476,0.05406550269425225,0.16205461678327993
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,area,0.0,0.0,0.03,0.9322716607722024,0.8809598083528719,0.9168781050464032,0.2370217124116607,0.03863334964389994,0.17098574357805774
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.1,0.25,0.03,0.9363310963207526,0.8728269851762761,0.9172798629774096,0.23821452556876466,0.04643184653784281,0.1668589140754193
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.0,0.25,0.03,0.9369163370457011,0.8715985956480201,0.9173210146263968,0.23568353668088093,0.043747660322531315,0.16661734101944603
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.1,0.25,0.03,0.9425672432158523,0.8658199253357897,0.9195430478518334,0.24648953520227224,0.05659157493916614,0.1617253280710429
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.1,0.25,0.0,0.9476170687335592,0.8773016371032556,0.926522439244468,0.24710327055072412,0.05738384537618437,0.1617252982687205
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.0,0.25,0.0,0.947260513826939,0.8810823832094513,0.9274070746416926,0.23641525255516171,0.04679192858698343,0.1655722822761163
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.1,0.0,0.03,0.9474632056883898,0.8819206807159979,0.9278004481966722,0.23726252792403102,0.04683296576165437,0.16676475992426276
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.0,0.25,0.0,0.9492907733784646,0.8792259901835952,0.9282713384200036,0.24595748004503548,0.056183332793390356,0.16331965726567432
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.65,cubic,0.1,0.0,0.0,0.9525773103657206,0.8819973719335635,0.9314033288360735,0.24358500924427062,0.048841702328809244,0.16440856998087838
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.65,cubic,0.0,0.0,0.03,0.9536576155523186,0.8830008730619345,0.9324605928052034,0.24333565426059067,0.04866845996527467,0.1642942235339433
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.1,0.25,0.03,0.9526453995407917,0.8889155086315284,0.9335264322680126,0.23347920953528956,0.04345318843162977,0.16641166695626453
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.0,0.25,0.03,0.9606539552268576,0.8837169566307984,0.9375728556480398,0.244857024110388,0.05635566949890429,0.16154427459696308
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,area,0.0,0.25,0.03,0.9626907925299945,0.897040901247067,0.9429958251451162,0.22863334458088502,0.03885538006291062,0.16593741765245795
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.1,0.0,0.03,0.9675520977081188,0.8865878613668975,0.9432628268057524,0.24419831711566076,0.056489719163115945,0.16052872955333441
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.1,0.0,0.03,0.963100529584462,0.8973151575728594,0.9433649179809811,0.23257834691321477,0.04380699570196343,0.16631658270489424
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.0,0.0,0.0,0.9639782140040616,0.8973112361336593,0.9439781206429408,0.23482334427535534,0.046091109553094395,0.16541760979453102
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.5,area,0.0,0.25,0.0,0.9640093962653343,0.897325670120534,0.9440042784218943,0.23171679902588949,0.04378249013987556,0.16511976497713476
msrs_test_ir,external_data/downloads/MSRS_repo/test/ir,128,1.0,0.65,cubic,0.1,0.25,0.0,0.9694064747032802,0.8960101757094039,0.9473875850051172,0.23302437900565565,0.04716533441325415,0.16121722490061074
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,area,0.1,0.0,0.0,0.9699939082662993,0.89912836999778,0.9487342467857435,0.23862783628283069,0.04557784501843021,0.163928686582949
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,area,0.0,0.0,0.03,0.970866639977027,0.8999871968135933,0.9496028070279969,0.2383952729869634,0.045429937721320396,0.16381223540520296
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.5,cubic,0.0,0.0,0.0,0.9735381548321586,0.8967069624627999,0.9504887971213509,0.24293826206121594,0.05631561684238978,0.1596043094759807
msrs_train_ir,external_data/downloads/MSRS_repo/train/ir,128,1.0,0.65,cubic,0.1,0.25,0.03,0.9799199502924385,0.9030684345624114,0.9568644955734302,0.23756742750992998,0.04877633821504948,0.16080382937798277
