source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.0,0.0,0.03,0.8656365757150237,0.7467315360957943,0.8299650638292548,0.14866294636158273,0.03899910014390379,0.1691642208606936
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.1,0.0,0.0,0.8657802975257669,0.747791823769762,0.8303837553989654,0.14897794323042035,0.039040732687154675,0.16924095584545285
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.1,0.0,0.0,0.8821112527046683,0.7654321587513211,0.847107524518664,0.14476463876781054,0.03429564426617415,0.16871482584974729
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.0,0.0,0.03,0.8834929609610276,0.7658170616545817,0.8481901911690939,0.14450695866253227,0.034248333910196924,0.16863711693440564
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.1,0.25,0.0,0.8838210980184257,0.7693387324296912,0.8494763883418053,0.14716836716979742,0.03986239191799361,0.1670459243177902
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.1,0.0,0.0,0.8904681017675938,0.7743605896171012,0.855635848122446,0.1422806375194341,0.03230891335344662,0.1684541754948441
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.0,0.0,0.03,0.8923455814409881,0.7752658462044575,0.8572216608700288,0.1421125434571877,0.03225611841189532,0.16837292941636406
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.1,0.25,0.0,0.9029492408581153,0.7899569148598345,0.869051543058631,0.14309642789885402,0.03500480772442317,0.16653245559427887
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.1,0.0,0.0,0.9059220352397226,0.790485673340615,0.8712911266699903,0.13892011786811054,0.02885448943295036,0.16799884257488884
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.0,0.25,0.0,0.8949321251760127,0.817040980910549,0.8715647818963735,0.14418933594424743,0.039882173826397596,0.16688457250711508
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.0,0.0,0.03,0.9070420502136838,0.7909037160807927,0.8722005499738164,0.1387285044474993,0.02882346975876329,0.16792484611505643
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.0,0.25,0.03,0.9081769689704053,0.7978481782833075,0.8750783317642759,0.14433680483489297,0.04015296040354556,0.16538655690965243
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.1,0.25,0.0,0.9118036414643299,0.7994021563552121,0.8780831959315945,0.14079561235848814,0.032964472435509304,0.1662712573306635
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.1,0.25,0.03,0.9198421104800351,0.7948836425424974,0.8823545700987737,0.1466596516838763,0.03999445905085854,0.1669005454168655
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.0,0.25,0.0,0.9129886647632794,0.8335949633123073,0.8891705543279877,0.14039501729712356,0.03505627512774032,0.16638057053205557
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.1,0.0,0.03,0.925492165276971,0.8148956132931185,0.8923131996818152,0.14504622151434887,0.03990849352992183,0.16431862695026211
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.1,0.25,0.0,0.9266392614265907,0.8153607462982448,0.8932557068880869,0.13732532670837827,0.02939888298737496,0.16581946337828413
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.0,0.25,0.03,0.9265280788908374,0.8174013121101844,0.8937900488566415,0.1402801131189335,0.035233924789330365,0.1648665851680562
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,cubic,0.0,0.0,0.0,0.9324891461116879,0.8131727196268949,0.89669421816625,0.1441566000576131,0.04078419983441394,0.16379138943739235
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.0,0.25,0.0,0.9214910201995165,0.8415342852931962,0.8975039997276203,0.13814437904511578,0.0330257634092279,0.16612628765869886
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.1,0.25,0.03,0.9386131620825161,0.8145258323846637,0.9013869631731604,0.14256442108307965,0.035141534408757925,0.16638426121789962
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.0,0.25,0.03,0.9357106958227133,0.8271083578691757,0.903129994436652,0.1379381951119285,0.03317413598312193,0.16460411038133316
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.1,0.25,0.03,0.9474185555571848,0.8237994972439855,0.910332838063225,0.1402261372859357,0.0331057695543723,0.1661264721187763
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.1,0.0,0.03,0.9442102266707294,0.8348386800899172,0.9113987626964857,0.1409067646600306,0.0350000174476841,0.16379981985664926
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,cubic,0.0,0.0,0.0,0.9472464590593944,0.829472797306284,0.9119143605334612,0.1399683429626748,0.03578215002767925,0.16326556308194995
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.0,0.25,0.0,0.9366489995757677,0.8556189066006892,0.9123399716832441,0.1348370596388122,0.029499255253090897,0.1656936188810505
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.0,0.25,0.03,0.950338983261737,0.842534503770402,0.9179976394143365,0.13461760131758638,0.02962703830888204,0.16416464681969956
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.1,0.0,0.03,0.9533768169584274,0.8445362148112857,0.9207246363142848,0.13856491855403874,0.03295786507341082,0.16353957075625658
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.5,area,0.0,0.0,0.0,0.9561451325910182,0.8388179964057235,0.9209469917354298,0.13763479691988323,0.033700232121009324,0.16300407546805218
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.1,0.25,0.03,0.9624732850720131,0.839418728156317,0.9255569179973042,0.1368496640207013,0.029570878945946927,0.16568129538791254
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.1,0.0,0.03,0.9676051789587484,0.8596437689409353,0.9352167559534045,0.13523056521080434,0.029440815806622035,0.16309568984434009
pst900_thermal,external_data/PST900_RGBT_Dataset/train/thermal,128,1.0,0.65,area,0.0,0.0,0.0,0.9710338932760937,0.8543900994826594,0.9360407551380634,0.13435451174154878,0.030091810286928918,0.16256011769291945
pst900_thermal_raw,external_data/PST900_RGBT_Dataset/train/thermal_raw,128,1.0,0.65,area,0.0,0.25,0.0,1.9430376824328104,1.7215880027571673,1.8766027785301174,0.09073672315571457,0.09370284436869522,0.11186547522083856
pst900_thermal_raw,external_data/PST900_RGBT_Dataset/train/thermal_raw,128,1.0,0.65,area,0.1,0.25,0.03,1.9436050414042891,1.7266524406151584,1.8785192611675496,0.0914959335786989,0.09388383070740433,0.11030167565331794
pst900_thermal_raw,external_data/PST900_RGBT_Dataset/train/thermal_raw,128,1.0,0.65,area,0.0,0.25,0.03,1.9459933545745478,1.7244547049906553,1.87953175969938,0.09157733300526161,0.09391207757264268,0.10898632192402147
