source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.0,0.25,0.03,0.4999443254057219,0.5069047592455401,0.5020324555576674,0.2260836806963198,0.02538981932516117,0.2120976678270381
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.1,0.25,0.03,0.5093842985649656,0.5113580926007631,0.5099764367757048,0.2251988751522731,0.025284971934243353,0.21242874141898938
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.1,0.0,0.0,0.5110418841905343,0.5189991417259595,0.5134290614511619,0.23717264964943752,0.025442975554146343,0.22271623858250678
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.0,0.0,0.03,0.5133463320373745,0.5198462557988811,0.5152963091658265,0.23675911698956043,0.025308354370572578,0.22274610528256744
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.65,cubic,0.0,0.25,0.03,0.5205704854665968,0.5243853678373596,0.5217149501778255,0.22023411345435306,0.023061578471706555,0.21166919392999262
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.1,0.0,0.03,0.5307094166607706,0.524322880604998,0.5287934558440388,0.22310423757880926,0.025495291605241506,0.20946367288706824
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.65,cubic,0.1,0.25,0.03,0.5297915132002462,0.5288555679808882,0.5295107296344388,0.21937964533572085,0.02296220041748371,0.21199996108771302
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.0,0.0,0.0,0.5417467648589142,0.5057763171370347,0.5309556305423503,0.22405967762460932,0.025490166621392155,0.20858455303823575
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.65,cubic,0.1,0.0,0.0,0.529415643340792,0.5361775229071085,0.531444207210687,0.23088437429396436,0.023080641520149204,0.22226373408921063
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.65,cubic,0.0,0.0,0.03,0.5309857802984921,0.5360975280740758,0.5325193046311671,0.2306615220149979,0.022986956970613252,0.22229945880826563
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,area,0.0,0.25,0.03,0.5320115807712451,0.5339553794596782,0.532594720377775,0.21667127948603593,0.021940938195693295,0.21141087330761366
roadscene_ir,external_data/downloads/RoadScene_repo/infrared,128,1.0,0.5,cubic,0.1,0.25,0.03,0.5517794280942168,0.49550275330523025,0.5348964256575208,0.20914821774931625,0.03227149772309024,0.21005214599426836
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,cubic,0.0,0.25,0.0,0.5452083261528236,0.5209242810807743,0.5379231126312087,0.22089704289101064,0.025335787898180116,0.2081246533198282
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,area,0.1,0.25,0.03,0.5408522132109246,0.538491868249327,0.5401441097224453,0.21587476594140753,0.02185122370527854,0.21174511220306158
roadscene_ir,external_data/downloads/RoadScene_repo/infrared,128,1.0,0.5,cubic,0.1,0.25,0.0,0.5479378976221028,0.5248418730421056,0.5410090902481036,0.20846476242877543,0.03268966518797865,0.21080105082364753
roadscene_cropir,external_data/downloads/RoadScene_repo/cropinfrared,128,1.0,0.5,area,0.1,0.0,0.0,0.5392117524415654,0.5457584582297277,0.541175764178014,0.22697697539115325,0.021946498015493407,0.22199041134444997
