source,path,images,match_strength,sigma,interp,sigma_jitter,noise_std,gamma_jitter,official_score,test_score,total_score,edge_mean,fft_high_ratio,std
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.1,0.0,0.0,0.3566044990763713,0.37430489109644904,0.3619146166823946,0.36576099623925984,0.09060410386973634,0.21073902229545638
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.0,0.0,0.03,0.3592879712814723,0.3727628560236365,0.3633304367041216,0.36510409985203296,0.09000520528559391,0.21058486279798672
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.1,0.25,0.0,0.3664946895683055,0.3639412299127642,0.3657286516716431,0.35837683343561366,0.09146207508940585,0.2066528270370327
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.1,0.25,0.03,0.384311894525098,0.3591291660027075,0.3767570759683808,0.356780314585194,0.0899539754357123,0.2057590878685005
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.1,0.0,0.0,0.3791337864187902,0.3755991900131348,0.37807340749709356,0.3509955416666344,0.07641633326701489,0.2088044360280037
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.0,0.0,0.03,0.38155148357103535,0.3763731532806238,0.37999798448391187,0.3505245727719739,0.07597424296096938,0.20867435954278335
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.1,0.25,0.0,0.3860747409097616,0.3720134126512589,0.3818563424322108,0.34398557839449495,0.07707099475178936,0.20475208951393142
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.0,0.25,0.03,0.3876440437075203,0.37494539677429634,0.3838344496275531,0.3518251428613439,0.0901154832605266,0.20232157013379037
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.1,0.0,0.03,0.3934676416548918,0.3741962807429409,0.3876862333813065,0.3509195653023198,0.08975729274259503,0.2024246885557659
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.1,0.0,0.0,0.39427157810174024,0.3857978506796067,0.39172945987510016,0.3427955463412218,0.07086236027353965,0.20793938473798335
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.0,0.0,0.03,0.3968995077626877,0.38642551842742806,0.39375731096210975,0.34242490166798234,0.07049798651237062,0.2078243914875202
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.1,0.25,0.03,0.4052943349231051,0.37275838803169836,0.3955335508556831,0.34257038647774607,0.07594335729003428,0.20390290976502
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.0,0.25,0.0,0.38943370699025603,0.41266441284132127,0.3964029187455756,0.3515244028531015,0.09007862198569745,0.20349291508318856
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.1,0.25,0.0,0.4014610011356292,0.386359756850038,0.3969306278499518,0.3360471171909012,0.0714501678944138,0.20390846708323807
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.0,0.25,0.03,0.4084463509775662,0.3876544758540997,0.4022087884405262,0.33776083833072335,0.07607698318636394,0.20047902746591717
sama_california_data,external_data/sama_california_data,128,1.0,0.5,cubic,0.0,0.0,0.0,0.41073549458474473,0.3852760464922347,0.40309766015699167,0.34924641204997897,0.09022823920549906,0.20202534249983728
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.1,0.0,0.03,0.41425775848498536,0.388628282417913,0.40656891566486364,0.3369192225509323,0.07579085813504002,0.2005938694346696
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.1,0.25,0.03,0.42004162002922285,0.38671182741079485,0.41004268224369445,0.3347112031769939,0.0704624404910773,0.20307500706985593
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.0,0.25,0.0,0.4056189118973086,0.4244349952100696,0.4112637368911369,0.33754283213056624,0.07603731214424012,0.20166278292890638
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.1,0.0,0.0,0.4208199877791361,0.40467335956057815,0.4159759993135687,0.3309003913891502,0.061429485808262387,0.20659966609673575
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.0,0.25,0.03,0.42328951904204826,0.40266937723395024,0.4171034764996189,0.3299442823044956,0.0705976591771316,0.19965820835204795
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.0,0.0,0.03,0.4225045121105622,0.40485086133862863,0.41720841687898214,0.3305606422945857,0.061160427626220766,0.20649330457672477
sama_california_data,external_data/sama_california_data,128,1.0,0.65,cubic,0.0,0.0,0.0,0.42946378610614444,0.397192540183982,0.41978241232949565,0.33522962406277657,0.07618044766891505,0.20020443270914257
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.1,0.0,0.03,0.4288217081586076,0.4030920054559127,0.4211027973477991,0.3291893715504557,0.07032952681735355,0.19977855699835345
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.1,0.25,0.0,0.42771568115116354,0.41097084877504964,0.42269223143832935,0.3243505955906585,0.06191412791095906,0.20258815994020551
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.0,0.25,0.0,0.41974543365346056,0.43765435590452945,0.4251181103287812,0.32976724026957527,0.07055593933200627,0.20084630174096674
sama_california_data,external_data/sama_california_data,128,1.0,0.5,area,0.0,0.0,0.0,0.44311731322457576,0.4101744414259599,0.433234451684991,0.3274756939499639,0.07069618533760133,0.19939447403885424
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.1,0.25,0.03,0.4449459738807774,0.4109095708899853,0.43473505298353976,0.3231298215687275,0.0611309929288199,0.20177947607589886
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.0,0.25,0.03,0.44898544823519543,0.4287836455899635,0.4429249074416258,0.3185012020403519,0.06125892751416663,0.19837505801115185
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.1,0.0,0.03,0.4534302190921922,0.42835652347162984,0.4459081104060235,0.3177819921984337,0.06102596099762905,0.19850173796294257
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.0,0.25,0.0,0.44457743855874937,0.4600790673561111,0.4492279271979579,0.31838537036674097,0.06120999810282683,0.19957034912658855
sama_california_data,external_data/sama_california_data,128,1.0,0.65,area,0.0,0.0,0.0,0.46688868443590315,0.43310218121805255,0.4567527334705479,0.31624526635278016,0.06134991283723472,0.19813581788912416
